_id,similarity,ltable_ID,rtable_ID,ltable_Title,ltable_Brand,ltable_Processor Name,ltable_Processor Speed (GHz),ltable_Processor Brand,ltable_Operating System,ltable_RAM,ltable_Graphics Card,ltable_Storage (GB),ltable_Weight (lb),rtable_Title,rtable_Brand,rtable_Processor Name,rtable_Processor Speed (GHz),rtable_Processor Brand,rtable_Operating System,rtable_RAM,rtable_Graphics Card,rtable_Storage (GB),rtable_Weight (lb)
0,0.8571428571428571,2992,167,hp mini 5101,hp, intel atom n280,1.67,intel," ms windows xp home, ms windows xp home", 1 gb, intel gma 950,160 gb,2.9,"hp mini 5101 n280 en,hp,fm978ut#aba,vs234570",hp, intel atom n280,1.6,intel,pc,1 gb,intel gma 950,160 gb,5.2
1,0.8571428571428571,2992,774,hp mini 5101,hp, intel atom n280,1.67,intel," ms windows xp home, ms windows xp home", 1 gb, intel gma 950,160 gb,2.9,"hp mini 5101 n280 en,hp,fm978ut#aba,vs234570",hp, intel atom n280,1.6,intel,pc,1 gb,intel gma 950,160 gb,5.2
2,0.7142857142857143,483,2210,toshiba cb35-a3120 chromebook,toshiba, intel celeron 2955u,1.4,intel, google chrome os, 2 gb, intel hd graphics,16 gb,3.17,"toshiba cb35-a3120 13.3-inch chromebook,toshiba,plm01u-002005",toshiba, intel celeron,1.4,intel celeron,chrome os,2 gb,intel hd graphics,16 gb,3.3
3,0.7142857142857143,912,571,samsung chromebook series 5,samsung, intel atom n570,1.67,intel," google chrome os, google chrome os", 2 gb, intel gma 3150,16 gb,3.2,"samsung series 5 chromebook (wi-fi),????,xe500c21-a04us",samsung, intel atom,1.66,intel,google chrome os,2 gb,intel gma 3150,,3.3
4,0.7142857142857143,912,1178,samsung chromebook series 5,samsung, intel atom n570,1.67,intel," google chrome os, google chrome os", 2 gb, intel gma 3150,16 gb,3.2,"samsung series 5 chromebook (wi-fi),????,xe500c21-a04us",samsung, intel atom,1.66,intel,google chrome os,2 gb,intel gma 3150,,3.3
5,0.7058823529411765,2562,1344,lenovo thinkpad x230,lenovo, intel core i5-3320m,2.6,intel, microsoft windows 7 professional, 4 gb, intel hd graphics 4000,320 gb,3.39,"lenovo thinkpad x230 tablet 34352ju 12.5-inch laptop,lenovo,34352ju,1009355",lenovo, core i5-3320m,2.6,intel,windows 7;,4 gb,intel hd graphics 4000,320 gb,1.0
6,0.7,2789,1854,samsung ativ book 9 plus,samsung, intel core i5-4200u,1.6,intel, microsoft windows 8, 4 gb, intel hd graphics 4400,128 gb,3.06,"samsung ativ book 9 plus np940x3g-k01us 13.3-inch touchscreen laptop,samsung,np940x3g-k01us",samsung, intel core i5,1.6,intel,windows 8;,4 gb,intel hd graphics 4400,128 gb,3.1
7,0.6875,3187,4860,acer travelmate b (tmb115-mp-c23c),acer, intel celeron n2940,1.83,intel, windows 8.1, 4 gb, intel hd graphics,500 gb,2.89,"acer travelmate b nx.vbhaa.001;tmb116-mp-c0kk 11.6"" laptop,acer,nx.vbhaa.001;tmb116-mp-c0kk",acer, intel celeron,1.6,intel,windows 10,4 gb,intel hd graphics,500 gb,3.1
8,0.6875,2227,3467,lenovo thinkpad w550s,lenovo, intel core i7-5600u,2.6,intel, windows 8.1 pro, 16 gb, nvidia quadro k620m,512 gb,5.47,"lenovo thinkpad w550s 20e2000vus 15.6-inch laptop,lenovo,20e2000vus",lenovo, intel core i7,2.4,intel,windows 7,16 gb,nvidia quadro k620m,512 gb,5.1
9,0.6842105263157895,1156,1465,vizio 14-inch thin + light (ct14-a4),vizio, intel core i5-3317u,1.7,intel, microsoft windows 8, 4 gb, intel hd graphics 4000,128 gb,3.4,"vizio ct14-a4 14-inch thin + light ultrabook,vizio,ct14-a4",vizio, intel core i5,1.7,intel core i5,windows 8;,4 gb,intel hd 4000,128 gb,3.4
10,0.6842105263157895,1933,1318,vizio 14-inch thin + light (ct14-a2),vizio, intel core i7-3517u,1.9,intel, microsoft windows 7 home premium, 4 gb, intel hd graphics 4000,256 gb,3.4,"vizio thin and light ct14-a2 14-inch laptop,vizio,ct14-a2",vizio, core i7-3517u,1.9,intel,windows 7 home premium 64-bit,4 gb,intel hd graphics 4000,256 gb,3.4
11,0.6666666666666666,498,373,toshiba mini nb305-n600,toshiba, intel atom n550,1.5,intel," microsoft windows 7 starter edition, microsoft windows 7 starter edition", 1 gb, intel gma 3150,250 gb,2.8,"toshiba nb305-n600 10.1-inch netbook (blue),toshiba,pll3du-002002",toshiba, atom n550,1.5,intel,windows 7 starter,1 gb,intel gma 3150,250 gb,2.6
12,0.6666666666666666,3223,149,hp pavilion dv6-1353cl-b,hp, intel core 2 duo t6600,2.2,intel, microsoft windows 7 home premium, 4 gb, intel gma 4500mhd,320 gb,5.8,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
13,0.6666666666666666,703,149,hp pavilion dv6-1350us,hp, intel core 2 duo t6600,2.2,intel, microsoft windows 7 home premium, 4 gb, intel gma 4500mhd,320 gb,6.5,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
14,0.6666666666666666,1962,756,hp pavilion dv4-1543sb,hp, intel core 2 duo t6600,2.2,intel, microsoft windows 7 home premium, 4 gb, intel gma 4500mhd,320 gb,5.2,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
15,0.6666666666666666,2160,756,hp pavilion dv4-1540us,hp, intel core 2 duo t6600,2.2,intel, microsoft windows 7 home premium, 4 gb, intel gma 4500mhd,320 gb,5.2,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
16,0.6666666666666666,2160,149,hp pavilion dv4-1540us,hp, intel core 2 duo t6600,2.2,intel, microsoft windows 7 home premium, 4 gb, intel gma 4500mhd,320 gb,5.2,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
17,0.6666666666666666,498,980,toshiba mini nb305-n600,toshiba, intel atom n550,1.5,intel," microsoft windows 7 starter edition, microsoft windows 7 starter edition", 1 gb, intel gma 3150,250 gb,2.8,"toshiba nb305-n600 10.1-inch netbook (blue),toshiba,pll3du-002002",toshiba, atom n550,1.5,intel,windows 7 starter,1 gb,intel gma 3150,250 gb,2.6
18,0.6666666666666666,703,756,hp pavilion dv6-1350us,hp, intel core 2 duo t6600,2.2,intel, microsoft windows 7 home premium, 4 gb, intel gma 4500mhd,320 gb,6.5,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
19,0.6666666666666666,3036,2263,acer aspire e1-510p-2671,acer, intel celeron n2920,1.86,intel, windows 8.1, 8 gb, intel hd graphics,500 gb,5.84,"acer aspire nx.mhgaa.001;e1-532-2635 15.6-inch laptop,acer,nx.mhgaa.001;e1-532-2635",acer, intel celeron,1.4,intel celeron,windows 7,4 gb,intel hd graphics,500 gb,5.2
20,0.6666666666666666,1236,3987,lenovo thinkpad e450,lenovo, intel core i5-5200u,2.2,intel, microsoft windows 7 professional, 4 gb, intel hd graphics 5500,500 gb,4,"lenovo thinkpad e450 20dc00b1us 14"" laptop (black),lenovo direct,20dc00b1us",lenovo, core i5-5200u,2.2,intel,windows 10,4 gb,intel hd graphics 5500,500 gb,6.1
21,0.6666666666666666,3223,756,hp pavilion dv6-1353cl-b,hp, intel core 2 duo t6600,2.2,intel, microsoft windows 7 home premium, 4 gb, intel gma 4500mhd,320 gb,5.8,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
22,0.6666666666666666,1962,149,hp pavilion dv4-1543sb,hp, intel core 2 duo t6600,2.2,intel, microsoft windows 7 home premium, 4 gb, intel gma 4500mhd,320 gb,5.2,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
23,0.6666666666666666,2614,2263,acer aspire e3-111-c1bw,acer, intel celeron n2930,1.83,intel, windows 8.1, 4 gb, intel hd graphics,500 gb,2.84,"acer aspire nx.mhgaa.001;e1-532-2635 15.6-inch laptop,acer,nx.mhgaa.001;e1-532-2635",acer, intel celeron,1.4,intel celeron,windows 7,4 gb,intel hd graphics,500 gb,5.2
24,0.65,1156,1315,vizio 14-inch thin + light (ct14-a4),vizio, intel core i5-3317u,1.7,intel, microsoft windows 8, 4 gb, intel hd graphics 4000,128 gb,3.4,"vizio thin and light ct14-a1 14-inch laptop,vizio,ct14-a1",vizio, intel core i5,1.7,intel,windows 7 home premium 64-bit,4 gb,intel hd graphics 4000,128 gb,3.4
25,0.65,2371,1464,vizio 15.6-inch thin + light (ct15-a1),vizio, intel core i5-3317u,1.7,intel, microsoft windows 7 home premium, 4 gb, intel hd graphics 4000,128 gb,3.87,"vizio ct15-a4 15-inch thin + light ultrabook,vizio,ct15-a4",vizio, intel core i5,1.7,intel core i5,windows 8;,4 gb,intel hd graphics 4000,128 gb,3.9
26,0.65,1156,1464,vizio 14-inch thin + light (ct14-a4),vizio, intel core i5-3317u,1.7,intel, microsoft windows 8, 4 gb, intel hd graphics 4000,128 gb,3.4,"vizio ct15-a4 15-inch thin + light ultrabook,vizio,ct15-a4",vizio, intel core i5,1.7,intel core i5,windows 8;,4 gb,intel hd graphics 4000,128 gb,3.9
27,0.65,2284,1466,vizio 15.6-inch thin + light touch (ct15t-b1),vizio, intel core i7-3535qm,2.4,intel, microsoft windows 8, 8 gb, intel hd graphics 4000,256 gb,4.69,"vizio ct15-a5 15.6-inch thin + light ultrabook,vizio,ct15-a5",vizio, intel core i7,1.9,intel core i7,windows 8;,4 gb,intel hd 4000,256 gb,3.9
28,0.65,2714,1515,samsung series 9 15-inch (np900x4c-a02us),samsung, intel core i5-3317u,1.7,intel, microsoft windows 7 home premium, 8 gb, intel hd graphics 4000,128 gb,3.6,"samsung series 9 np900x4d-a05us 15-inch premium ultrabook (silver),????,np900x4d-a05us",samsung, intel core i5,1.7,intel,windows 8 ;,4 gb,intel hd graphics 4000,128 gb,3.5
29,0.6470588235294118,1960,1286,samsung series 5 chromebook 550 (xe550c22-h01),samsung, intel celeron 867,1.9,intel, google chrome os, 4 gb, intel hd graphics 3000,16 gb,3.3,"samsung series 5 550 chromebook (3g),samsung,xe550c22-h01us",samsung, intel celeron,1.3,intel celeron,google chrome os,4 gb,intel hd graphics,,3.0
30,0.6428571428571429,2136,947,samsung r580-jbb2,samsung, intel core i3-370m,2.4,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,500 gb,5.4,"samsung r580-jbb2 15.6"" notebook,samsung,np-r580-jbb2us",samsung, intel core i3,2.4,intel,windows 7;,4 gb,intel gma,500 gb,5.7
31,0.6428571428571429,2136,340,samsung r580-jbb2,samsung, intel core i3-370m,2.4,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,500 gb,5.4,"samsung r580-jbb2 15.6"" notebook,samsung,np-r580-jbb2us",samsung, intel core i3,2.4,intel,windows 7;,4 gb,intel gma,500 gb,5.7
32,0.631578947368421,318,149,hp pavilion dv6t (1030us),hp, intel core 2 duo t6400,2,intel, microsoft windows vista home premium, 4 gb, intel gma 4500mhd,320 gb,6,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
33,0.631578947368421,1944,605,hp folio 13-1020us,hp, intel core i5-2467m,1.6,intel, microsoft windows 7 home premium, 4 gb, intel hd graphics 3000,128 gb,3.25,"hp folio 13-1020us 13.3-inch ultrabook (steel gray),hp,13-1020us,hp folio,folio,laptop",hp, intel core i5,1.6,intel core i5,windows 7;,4 gb,intel hd graphics 3000,128 gb,3.3
34,0.631578947368421,318,756,hp pavilion dv6t (1030us),hp, intel core 2 duo t6400,2,intel, microsoft windows vista home premium, 4 gb, intel gma 4500mhd,320 gb,6,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
35,0.631578947368421,154,756,hp pavilion dv6-1230us,hp, intel core 2 duo p6500,2.1,intel, microsoft windows vista home premium, 4 gb, intel gma 945 gm,320 gb,7.12,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
36,0.631578947368421,1236,3409,lenovo thinkpad e450,lenovo, intel core i5-5200u,2.2,intel, microsoft windows 7 professional, 4 gb, intel hd graphics 5500,500 gb,4,"lenovo thinkpad e450 20dcs00e00 14-inch laptop (black),lenovo direct,20dcs00e00",lenovo, intel core i5,2.2,intel,"64-bit, windows 7 professional",4 gb,intel hd graphics 5500,500 gb,4.0
37,0.631578947368421,154,149,hp pavilion dv6-1230us,hp, intel core 2 duo p6500,2.1,intel, microsoft windows vista home premium, 4 gb, intel gma 945 gm,320 gb,7.12,"hp pavilion dv6-1230us 15.6-inch entertainment laptop,hp,vh681ua#aba",hp, intel core 2 duo,2.1,intel,windows vista;,4 gb,intel gma 4500mhd,320 gb,6.3
38,0.631578947368421,2177,107,apple macbook pro 13-inch,apple, intel core 2 duo p7550,2.26,intel,, 2 gb, nvidia geforce 9400m,160 gb,4.5,"apple macbook mc240ll/a 13.3-inch laptop,apple computer,mc240ll/a",apple, intel core 2 duo,2.13,intel,apple mac os x 10.5 leopard,2 gb,nvidia geforce 9400m,160 gb,5.0
39,0.631578947368421,2777,5280,dell latitude 14 7000 series (e7450),dell, intel core i5-5200u,2.2,intel, windows 8.1 pro, 8 gb, intel hd graphics 5500,256 gb,3.59,"dell latitude 14 7000 series (e7470),d&h,thtw7",dell, intel core i7,2.4,,"64-bit, windows 10 pro",8 gb,intel hd graphics 520,256 gb,5.7
40,0.631578947368421,1236,3182,lenovo thinkpad e450,lenovo, intel core i5-5200u,2.2,intel, microsoft windows 7 professional, 4 gb, intel hd graphics 5500,500 gb,4,"lenovo thinkpad e450 20dc004cus 14-inch laptop (black),lenovo direct,20dc004cus",lenovo, intel core i5,2.2,intel,"64-bit, windows 7 professional",4 gb,intel hd graphics 5500,500 gb,6.0
41,0.631578947368421,1944,1212,hp folio 13-1020us,hp, intel core i5-2467m,1.6,intel, microsoft windows 7 home premium, 4 gb, intel hd graphics 3000,128 gb,3.25,"hp folio 13-1020us 13.3-inch ultrabook (steel gray),hp,13-1020us,hp folio,folio,laptop",hp, intel core i5,1.6,intel core i5,windows 7;,4 gb,intel hd graphics 3000,128 gb,3.3
42,0.631578947368421,1208,3339,lenovo thinkpad t450s,lenovo, intel core i5-5300u,2.3,intel, windows 8.1 pro, 8 gb, intel hd graphics 5500,256 gb,3.5,"lenovo thinkpad t450s 20bx001lus 14-inch laptop (black),lenovo direct,20bx001lus",lenovo, intel core i7,2.6,intel,windows 7 professional,8 gb,intel hd graphics 5500,256 gb,5.7
43,0.631578947368421,2177,714,apple macbook pro 13-inch,apple, intel core 2 duo p7550,2.26,intel,, 2 gb, nvidia geforce 9400m,160 gb,4.5,"apple macbook mc240ll/a 13.3-inch laptop,apple computer,mc240ll/a",apple, intel core 2 duo,2.13,intel,apple mac os x 10.5 leopard,2 gb,nvidia geforce 9400m,160 gb,5.0
44,0.625,2614,2115,acer aspire e3-111-c1bw,acer, intel celeron n2930,1.83,intel, windows 8.1, 4 gb, intel hd graphics,500 gb,2.84,"acer aspire nx.m8aaa.004 11.6-inch laptop (silver),acer,nx.m8aaa.004",acer, intel celeron,1.6,intel,windows 8,4 gb,intel hd graphics,500 gb,1.0
45,0.625,2614,2766,acer aspire e3-111-c1bw,acer, intel celeron n2930,1.83,intel, windows 8.1, 4 gb, intel hd graphics,500 gb,2.84,"acer aspire nx.mqvaa.001 11.6-inch laptop (silver),acer,nx.mqvaa.001",acer, intel celeron,1.83,intel,windows 7,4 gb,intel hd graphics,500 gb,4.2
46,0.625,2614,2820,acer aspire e3-111-c1bw,acer, intel celeron n2930,1.83,intel, windows 8.1, 4 gb, intel hd graphics,500 gb,2.84,"acer aspire nx.mrqaa.001 11.6-inch laptop (silver),acer,nx.mrqaa.001",acer, intel celeron,1.83,intel,windows 8,4 gb,intel hd graphics,500 gb,4.2
47,0.625,3036,2115,acer aspire e1-510p-2671,acer, intel celeron n2920,1.86,intel, windows 8.1, 8 gb, intel hd graphics,500 gb,5.84,"acer aspire nx.m8aaa.004 11.6-inch laptop (silver),acer,nx.m8aaa.004",acer, intel celeron,1.6,intel,windows 8,4 gb,intel hd graphics,500 gb,1.0
48,0.625,3036,2766,acer aspire e1-510p-2671,acer, intel celeron n2920,1.86,intel, windows 8.1, 8 gb, intel hd graphics,500 gb,5.84,"acer aspire nx.mqvaa.001 11.6-inch laptop (silver),acer,nx.mqvaa.001",acer, intel celeron,1.83,intel,windows 7,4 gb,intel hd graphics,500 gb,4.2
49,0.625,3036,2820,acer aspire e1-510p-2671,acer, intel celeron n2920,1.86,intel, windows 8.1, 8 gb, intel hd graphics,500 gb,5.84,"acer aspire nx.mrqaa.001 11.6-inch laptop (silver),acer,nx.mrqaa.001",acer, intel celeron,1.83,intel,windows 8,4 gb,intel hd graphics,500 gb,4.2
