_id,ltable_id,rtable_id,ltable_song_title,ltable_year,ltable_artists,rtable_song_title,rtable_year,rtable_artists,gold_labels
601607,548294,744308,the tide is high,1994.0,blondie,the tide is high (4:39 version),0,blondie,1
604263,691593,846678,bring on the sunshine,1985.0,danny epps+brenda lee,rokin' on the tables,0,danny breaks,0
604704,522271,352356,honky tonk (part ii),1987.0,bill doggett+berisford shepherd,honky tonk (part 2),0,bill doggett,1
605107,519855,401771,the cow song,2005.0,the mountain goats,the jet song,0,the stoner,0
607089,588584,327417,tuesdays gone,2005.0,lynyrd skynyrd,tuesday's gone,1973,lynyrd skynyrd,1
608540,685445,353116,love song,2012.0,mark lenover,love and guilt,1984,mark knopfler,0
609318,715779,199182,save me,2005.0,shinedown,save me [pull mix],0,shinedown,1
610019,723006,34534,love  you didnt do right by me,1954.0,irving berlin+rosemary clooney,love_ you didn't do right by me,2004,rosemary clooney,1
613167,656130,774316,lazy,2005.0,daniel johnston,lazy,1980,daniel johnston,1
620591,726199,841101,last goodbye,2013.0,phong huynh.,last chance,1976,taï phong,0
621522,661482,160317,i cant live a dream,1976.0,arnold capitanelli+the osmonds,i can't live a dream,1996,the osmonds,1
625303,312769,833709,still in love song,2004.0,the stills,love in them there hills,1974,the pointer sisters,0
629220,563962,774417,el compromiso,1981.0,maría elena velasco .,el 45,0,maría elena walsh,0
633141,719421,609432,nervous and shakey,1985.0,the del fuegos,nervous reck,1994,the hentchmen,0
640082,731414,743356,love scene,1970.0,jerry garcia,lonesome love list,0,jerry kilgore,0
643509,331273,127549,kiss an angel good morning,1975.0,ben peters+charley pride,kiss an angel good mornin',1971,charley pride,1
648631,660778,93641,are you ready for freddy?,1988.0,the fat boys,what are you doing?,1999,the cucumbers,0
656309,703022,895473,back in the day punk,2011.0,the secretions,back in power (live in brighton),2005,the glitterati,0
656928,690434,339078,things i know,2010.0,dan leigh,things i miss the most,2003,steely dan,0
662910,504778,35068,where the wild roses grow,2005.0,nick cave+kylie minogue,red blooded woman/where the wild roses grow (live in new york),0,kylie minogue,1
663397,402996,907600,i was made to love her,1984.0,stevie wonder+lula mae hardaway+henry cosby+sylvia moy,i was made to love her,1967,stevie wonder,1
664348,508321,694624,la canción del viento,2012.0,javier corcobado,la canción del gitano,0,javier ruibal,0
664400,733593,666867,hoy tengo ganas de tí,2012.0,miguel gallardo,hoy,0,miguel morales,0
670510,703541,254009,long cool woman in a black dress,2012.0,allan clarke+roger cook+roger greenaway+the hollies,long cool woman in a black dress,1971,the hollies,1
671951,732231,88604, (i never promised you a) rose garden,2007.0,joe south+lynn anderson+arrangement with sony bmg music entertainment,rose garden,1970,lynn anderson,1
672767,282682,26216,im gonna get you,2012.0,angie brown,love's gonna get you,1992,jocelyn brown,0
673200,265919,846751,hold on,1959.0,hall johnson+peggy lee,hold on to freedom,0,lee michaels,0
674164,83462,701566,im good,2004.0,clipse,i'm good,2009,clipse,1
679217,261975,277272,big wind,1961.0,porter wagoner,big wind,1997,porter wagoner,1
681839,466036,777718,the rose march,2012.0,the smashing pumpkins,the zone,2003,the reach,0
683973,449319,218423,love me,2010.0,the cramps,shoot me with your love,0,the shamrock singers,0
685093,262158,540363,the carroll county accident,1961.0,porter wagoner,the carroll county accident,1989,porter wagoner,1
686116,214901,579776,weapon,2001.0,matthew good,weapon,2002,matthew good,1
686762,125719,67512,not in iowa,2010.0,kelly pardekooper,not in iowa,0,kelly pardekooper,1
699618,402768,91362,viva la fever,2004.0,sam hollander+david schommer+jill cunniff+cooler kids,viva la fever,2003,cooler kids,1
704110,724958,330160,turkey in the straw,1934.0,,pidgeon in the gate,0,jean carignan,0
705070,383658,678354,one lover at a time,1987.0,jimmy scott+richard feldman+atlantic starr+arrangement with warner special products,one lover at a time,1987,atlantic starr,1
706972,535579,401904,le rêve,2012.0,alexis rault,le veuf,2004,alexis hk,0
714093,393455,376860,pensando em você,2008.0,henrique cerqueira+claudia leitte,pensando em você,2008,cláudia leitte,1
715375,543290,40132,cant help myself,2012.0,that rogue romeo,myself to myself,1981,romeo void,0
717892,525843,895669,la ñeca,2007.0,rufo garrido+pedro laza y sus pelayeros,la negra caliente,0,pedro laza y sus pelayeros,0
723748,686006,242641,loving cup,1969.0,mick jagger+keith richards+the rolling stones,loving cup,1972,the rolling stones,1
734221,380592,390832,top of the world,2005.0,the all-american rejects,rise in the strength of jah,1999,the viceroys,0
736576,708291,121696,for the good times,2002.0,kris kristofferson+jonathan pryce,for the finding,0,kris gruen,0
737095,716413,332106,trojan horse,2005.0,the rattlesnakes,horse feathers,0,the pope,0
738006,536859,127742,the catalyst,2010.0,linkin park,the unshockable,2007,maximo park,0
740185,338596,635283,words into action,1986.0,mike leeson+peter vale+jermaine jackson,words into action,1990,jermaine jackson,1
740448,415103,939594,wake up,2007.0,hilary duff,wake up,2005,hilary duff,1
740870,522798,594115,el hombre de negro,2008.0,johnny cash+loquillo y trogloditas,el fantasma de elvis,0,loquillo y los trogloditas,0
745958,428409,314737,fall,2014.0,the psychedelic furs,fall,1980,the psychedelic furs,1
756503,722034,595289,kicking with you,2010.0,jason mraz+arrangement with warner music group film+tv licensing,kickin' with you (soundtrack version),0,jason mraz,1
757995,334626,565840,mi mariachi,1994.0,mariachi sol de mexico de jose hernandez+jose l. hernandez,mi jalisco,0,mariachi sol de mexico,0
766955,302400,583855,lenny,1964.0,supergrass,lenny,1995,supergrass,1
768534,366966,853737,boxcar blues,2001.0,kenny brown,lonesome katy blues,2003,kenny brown,0
769308,374890,130324,tryin to get the feeling again,1975.0,barry manilow,back to the wall,2002,barry blue,0
772352,473584,946083,closer,2003.0,goapele mohlabane+anthony anderson+michael aaborg+goapele,closer,2003,goapele,1
776971,620439,443741,melancholy mood,1949.0,walter schumann,blue mood,0,little walter,0
779591,544024,403489,at the fireplace,2007.0,altan urag,the roseville,2005,altan,0
779623,496172,728197,dance on your grave,1998.0,louise hoffsten+arrangement with bmg music publishing music,dance on your grave,1995,louise hoffsten,1
782230,644832,772704,how do you feel about foolin around,1985.0,kris kristofferson+willie nelson,how do you feel about foolin' around,1978,kris kristofferson;willie nelson,1
788090,346196,501729,un uomo si è dimesso,2009.0,ennio morricone,un uomo da rispettare (titoli),2005,ennio morricone,1
788096,713603,150365,niños,2008.0,pedro guerra,niños,2001,pedro guerra,1
788356,733846,721705,el mundo al revés,2007.0,maría isabel,el mundo al revés,0,maria isabel,1
789219,717299,343100,apaixonada por você,2004.0,wanessa camargo,apaixonada por você,0,wanessa,1
794411,669393,551185,four horseman of the apocalypse,2010.0,ray wylie hubbard+liz foster+lucas hubbard,dust of the chase,0,ray wylie hubbard,0
794462,652271,551185,just for the hell of it,1981.0,ray stevens,dust of the chase,0,ray wylie hubbard,0
794541,721719,551185,the birth of the blues,1948.0,ray henderson,dust of the chase,0,ray wylie hubbard,0
797384,362939,617167,changes iv,2012.0,cat stevens,changes iv,1971,cat stevens,1
798419,457343,368286,we roll deep,2013.0,the conscious daughters+carla m green+abdul-wali muhammas+karryl y smith,we roll deep (smooth radio remix),1993,the conscious daughters,1
799343,11279,309977,i saw your face,2002.0,antonio dixon+kenneth babyface edmonds+harvey mason jr.+justin guarini,i saw your face,2003,justin guarini,1
804991,205708,13118,bruttosozialprodukt,2015.0,friedel geratsch+reinhard baierle+geier sturzflug,bruttosozialprodukt,1982,geier sturzflug,1
807853,178065,721692,kick drum heart,2010.0,scott yancey avett / timothyseth avett / robert william crawford jr+the avett brothers,kick drum heart,2009,the avett brothers,1
809305,520954,189946,just,1995.0,radiohead,just,1995,radiohead,1
813633,669156,622446,what you really want,1987.0,michael sembello+david batteau,what you really want (bonus track),0,michael sembello,1
819115,686068,20656,love me tender,1977.0,ken darby+elvis presley  )+frank sinatra,love me tender,1956,elvis presley,1
820463,328752,493820,i need you now,2014.0,smokie norful,i need you now,2003,smokie norful,1
822220,220371,161836,push it,2014.0,salt-n-pepa,push it,0,salt-n-pepa,1
823620,717953,609158,die slow,2010.0,health,die slow,0,health,1
824700,298555,709926,i believe in father christmas,1964.0,greg lake+pete sinfield,i believe in father christmas -  theme from sleigh ride to the winter palace,0,greg lake,1
825650,727819,869584,burning house of love,1985.0,john doe+exene cervenka+x.,burning house of love,0,x,1
826858,707877,724028,la mentira,2006.0,álvaro carrillo+ana belén,la mentira,1994,ana belén,1
827686,714203,340721,those days are gone,1991.0,the checks,good times are gone forever,0,the equals,0
828461,450689,483016,magnolia soul,2010.0,william abers+ulises bella+raul pacheco+justin poree+asdrubal sierra+jiro yamaguchi+kc porter+jabulani smith-freeman+ozomatli,magnolia soul,2007,ozomatli,1
830231,725350,163211,at the dawning of the day,1937.0,john mccormack,the dawning,0,john michael talbot,0
834529,684553,730403,ill never say never to always,2009.0,the manson family,never say never,2009,the fray,0
834540,721143,730403,never be me,1969.0,the pretty things,never say never,2009,the fray,0
836058,352487,188802,suite for toy piano,2004.0,john cage,1: suite for a toy piano - 1948,0,john cage,1
840744,717018,951259,this must be the place (naive melody),1987.0,david byrne+jerry harrison+tina weymouth+chris frantz+the talking heads+arrangement with warner special products,this must be the place (naive melody) (2005 remastered lp version ),0,talking heads,1
840745,717051,951259,this must be the place (naïve melody),2010.0,david byrne+tina weymouth+jerry harrison+chris frantz+talking heads+arrangement with warner music group film+tv licensing,this must be the place (naive melody) (2005 remastered lp version ),0,talking heads,1
852275,651928,518113,she dont care about time,2013.0,gene clark+the byrds,she don't care about time,1965,the byrds,1
854120,664644,134270,they looked so pretty on the envelope,1943.0,jay gorney+victor moore,on the mainland,1996,christy moore,0
854719,721403,531474,fade to grey,2005.0,visage,fade to grey,1980,visage,1
856326,729705,677144,the wabe,1968.0,john simon+peter yarrow,now's the time,0,john lewis,0
862737,312769,366626,still in love song,2004.0,the stills,still in love song (napsterlive version),0,the stills,1
862942,205630,28869,b boy baby,2007.0,mutya buena+amy winehouse,b boy baby,2008,mutya buena,1
864806,380592,709617,top of the world,2005.0,the all-american rejects,in the still of the night,1960,the flamingos,0
864994,723721,709617,i believe in the good of life,2005.0,the hidden cameras,in the still of the night,1960,the flamingos,0
865261,426815,152492,te odio,2002.0,rudy pérez+joel numa+pablo montero,te odio,0,pablo montero,1
868493,55891,875233,blue eyes woman,2007.0,the go,blue moon,1977,the marcels,0
871389,537805,204422,take the a train,2004.0,billy strayhorn+duke ellington+the duke ellington orchestra,take the a train,1969,duke ellington and his orchestra,1
876512,705695,488513,just because im in love with you,1935.0,frank hayes+shirley ross+others,two in love,1998,frank sinatra,0
876516,708627,488513,ive never been in love before,2003.0,frank loesser+alan broadbent,two in love,1998,frank sinatra,0
879340,114678,603911,brand new watusi,2010.0,quantic,brand new watusi feat. eq,2002,quantic,1
880734,672176,503976,lay your hands on me,1992.0,peter gabriel,lay your head down,2005,peter bradley adams,0
885929,418543,696195,the narrow way part one,1976.0,david gilmour+pink floyd,the signs_ part one (2005 digital remaster),0,david axelrod,0
891094,287020,132623,listen,2004.0,beyoncé knowles+henry krieger+scott cutler+anne preven+charlene dawson,listen,2006,beyoncé,1
892496,231042,859604,reason is treason,2010.0,sergio pizzorno+kasabian,reason is treason,2003,kasabian,1
905214,645396,363635,she bangs the drums (live at spike island),2015.0,the stone roses+ian brown  /john squire,she bangs the drums,1989,the stone roses,1
905572,714348,620,alive alone,2009.0,the chemical brothers,rockin' alone,1994,everly brothers,0
906585,253443,260085,hearts like ours,2008.0,connie smith,hearts like ours (album version),1965,connie smith,1
911043,18721,420917,all jacked up,1975.0,john rich+vicky mcgehee+gretchen wilson,all jacked up,2005,gretchen wilson,1
916293,611455,684933,struggle blues,2013.0,woody guthrie,ramblin blues,0,woody guthrie,0
916716,698178,302412,john and marsha,1955.0,stan freberg+billy liebert+cliffie stone,john and marsha,1993,stan freberg,1
918683,555313,474499,west end blues,1947.0,joe oliver,west end,0,steve oliver,0
919127,570208,944392,in unaltra vita,2008.0,ludovico einaudi,in un'altra vita,2001,ludovico einaudi,1
927416,591554,446696,texas and pacific,1947.0,jack wolf fine+louis jordan   with his tympany five,texas and pacific,1992,louis jordan,1
928406,500,621952,black night,2005.0,deep purple,black night,1970,deep purple,1
928590,667084,621952,night bird,1996.0,deep forest,black night,1970,deep purple,0
929546,714202,813883,make you mine,1991.0,the checks,don't make me rock you,0,the national splits,0
931987,597709,872597,no easy way out,1985.0,robert tepper,no easy way out,1985,robert tepper,1
935767,585034,323687,gary gilmours eyes,1977.0,the adverts,-looking through- gary glitters eyes,0,the briefs,0
937069,578083,506824,macarena,2009.0,los del río+antonio romero    / rafael ruiz,macarena,1993,los del rio,1
937205,418691,437991,some folks do,1952.0,guy manning+robert milton+june christy,some folks do and some folks don't,0,june christy,0
939779,565033,282541,mama  you been on my mind,2004.0,bob dylan,woman on my weary mind,0,bob crosby,0
951082,471169,203458,she wants to move (mac & toolz remix),2005.0,chad hugo+pharrell williams+n.e.r.d.,she wants to move (dfa remix),0,n.e.r.d.,1
952750,695311,531730,lady marmalade,1999.0,labelle+bob crewe   / kenny nolan+arrangement with sony music licensing,lady marmalade,1974,labelle,1
953007,615452,828745,i am a rock,2004.0,paul simon+simon+garfunkel,i am a rock,0,paul simon,1
954341,700017,309421,brown girl in the ring,2013.0,boney m.,somewhere in the world,1984,boney m.,0
955891,520870,884696,hard to be a man,2014.0,gary private,to die a happy man (album version),2008,gary louris,0
957505,520681,747526,message of love,1985.0,chrissie hynde+the pretenders,tradition of love [remix],0,pretenders,0
957993,648690,815030,in the wink of an eye,2004.0,michael mclean,in the eye of the storm (album version),0,michael franks,0
959973,425095,711391,dreamer,2008.0,supertramp,dreamer,1974,supertramp,1
960301,721382,920681,house of the rising sun,2015.0,the animals,heart of the city,0,the unsacred hearts,0
963558,583758,577937,move any mountain,2015.0,the shamen,move any mountain (tomka mix),1996,the shamen,1
971116,603341,877630,the ballad of you and me and pooneil,1970.0,jefferson airplane,the ballad of you & me & pooneil,1967,jefferson airplane,1
972595,302761,36286,sandstorm,1964.0,cast,sandstorm,0,cast,1
976763,373873,750928,born to be wild,2006.0,mars bonfire+fanfare ciocarlia,born to be wild (borat version),2007,fanfare ciocarlia,1
979207,650510,32534,across the borderline,1982.0,jim dickinson+john hiatt+ry cooder+freddy fender,across the borderline,0,jim dickinson,1
981547,656497,654191,dont let go,2010.0,david anthony affleck,can't let go,2005,anthony hamilton,0
982797,557611,84443,la meva gent,2010.0,la resistència,la maroma,0,la camorra,0
987279,651956,106723,feel a whole lot better,2013.0,gene clark+tom petty,think i'm gonna feel better,1967,gene clark,0
988400,308376,643511,kiss and say goodbye (single version),2006.0,the manhattans,tropical waste (single version),0,the emperor machine,0
988745,725350,385072,at the dawning of the day,1937.0,john mccormack,the gods of men,2000,john ottman,0
990745,281159,620079,slow poison,2009.0,the bravery,the poison,2010,the all-american rejects,0
990920,722495,620079,the big loop,1993.0,the horseflies,the poison,2010,the all-american rejects,0
993026,317067,466939,unveiling the secret,2009.0,psyche,unveiling the secret (tapeworm remix),2006,psyche,1
997513,134768,176985,the city,2009.0,the dismemberment plan,the 13th floor,0,the urges,0
998844,733987,466482,dialogue of the electrons,1956.0,jack beaver,flight of the wax tadpole,2005,jack endino,0
999341,29917,725237,boulevard of broken dreams,2015.0,esquivel,boulevard of broken dreams,1958,esquivel,1
999416,690760,312073,jam on it,1998.0,m.b. cenac+newcleus+arrangement with warner special products,jam on it (accapella),0,newcleus,1
1004195,185285,133648,simple human kindness,1976.0,jim pembroke+wigwam,simple human kindness,0,wigwam,1
1004475,134768,591142,the city,2009.0,the dismemberment plan,the runaway train,0,the teddybears,0
1004834,670123,48249,dont look back into the sun,2011.0,the libertines,back against the wall,1986,the groundhogs,0
1005027,536790,754751,el amante de fuego,2006.0,nacho cano+mecano,el amante de fuego,0,mecano,1
1005990,414141,48006,off minor,1995.0,thelonious monk,off minor,0,thelonious monk septet,1
1006153,734440,407217,blue danube,2015.0,hubert von goisern,blue guitar,0,hubert sumlin,0
1006212,553117,758571,gai soleil,2003.0,a. yalcindag+e. wawra+alphawezen+asu yalcindag+daniel petrovich,gai soleil,2001,alphawezen,1
1007442,484602,545332,my life,2008.0,ayreon the don,my island,2003,the hollies,0
1007723,366968,59931,come on in,2001.0,r.l. burnside,come on in (part 2),1998,r.l. burnside,1
1014250,720277,395034,pioneers prayer,1956.0,paul j. smith,prayer meetin',0,jimmy smith,0
1014752,733894,554315,the blues,1995.0,randy newman+björn skifs,to the line,2003,randy newman,0
1017201,185692,298229,1406,2006.0,dinho+júlio rasec+mamonas assassinas,1406,1995,mamonas assassinas,1
1019541,185145,780571,love is a matter of distance,2001.0,tim christensen+will young,love is a matter of distance,2003,will young,1
1024437,700074,813544,money in my pocket,2014.0,joe gibbs+dennis brown,letters in my desk (demo),0,joe public,0
1027533,459080,97760,i wanna die,2009.0,jolie holland,i wanna die,2003,jolie holland,1
1033150,463255,65377,right here,2008.0,antonina armato+miley cyrus+tim james,right here,2007,miley cyrus,1
1053852,371147,933439,urban guerillas,2011.0,mike graham+the subhumans,urban guerillas,0,the subhumans,1
1053970,79561,322502,let there be drums,2009.0,incredible bongo band,let there be drums,1973,incredible bongo band,1
1054914,728839,209668,its all too much,1968.0,the beatles+george harrison,too much violence,1994,the clean,0
1056771,458286,850066,i want to do it with you,1984.0,layng martine+jr.+the pointer sisters,should i do it,1981,the pointer sisters,0
1057067,714348,462351,alive alone,2009.0,the chemical brothers,alive alone,1995,the chemical brothers,1
1057235,466036,369263,the rose march,2012.0,the smashing pumpkins,the chosen,0,the awakening,0
1057292,219254,369263,the chainsaw juggler,2011.0,the four postmen,the chosen,0,the awakening,0
1057310,134768,369263,the city,2009.0,the dismemberment plan,the chosen,0,the awakening,0
1058020,264705,362679,ho ho down,1991.0,john fiddy+gerhard narholz,down,0,john doe,0
1058033,726383,362679,every day can get you down,2014.0,john schoolery,down,0,john doe,0
1060416,728824,635191,the yellow pages song,1999.0,sam taft,the riddle song,1964,sam cooke,0
1062656,3721,133607,poor little fool (2005 digital remaster),1996.0,sharon sheeley+ricky nelson,supercar (2002 digital remaster),0,nelson riddle,0
1063937,353882,365999,this is where we meet,2009.0,nick ashford+valerie simpson,this is what u need,0,nick terranova,0
1065132,441932,473800,let me go home  whiskey,2015.0,john willie henry+snooks eaglin,let me go home_ whiskey,1994,snooks eaglin,1
1068206,345339,539340,the seawolf,2015.0,underground resistance,the friend song,2000,the union underground,0
1068518,554171,373097,san francisco blues,1999.0,lowell fulson,blues shadows,0,lowell fulson,0
1074873,649531,501836,a reflection on a summers day,1966.0,donovan,summer day reflection song,1989,donovan,0
1080194,573574,864942,between a house and a road,2009.0,joy askew,between the house and a road,0,joy askew,1
1080407,391920,257313,disfraz de tigre,2007.0,genís segarra+carlos ballesteros+hidrogenesse,disfraz de tigre,2007,hidrogenesse,1
1081920,333654,797155,never can say goodbye,2016.0,the communards,never can say goodbye,1987,the communards,1
1081925,308376,797155,kiss and say goodbye (single version),2006.0,the manhattans,never can say goodbye,1987,the communards,0
1083614,497718,459156,gives you hell,2009.0,the all-american rejects,gives you hell,2008,the all-american rejects,1
1084900,525673,805,ghost highway,1994.0,mazzy star+david roback,ghost highway,1990,mazzy star,1
1085001,204574,260376,mad about you,2015.0,belinda carlisle,mad about you (extended version) (digitally remastered '02),1986,belinda carlisle,1
1086885,722753,644590,the power is on,2009.0,ian parton+the go! team+arrangement with sony music entertainment,the power is on,2004,the go! team,1
1088011,515218,599055,säkkijärven polkka,1989.0,leningrad cowboys,säkkijärven polkka,1993,leningrad cowboys,1
1095697,711655,901697,top of the world,1993.0,van halen+sammy hagar+edward van halen+michael anthony+alex van halen,top of the world (remastered album version),0,van halen,1
1098853,173911,69327,matching weight,2003.0,trespassers william,matching weight,2006,trespassers william,1
1101651,683260,898933,walking blues,1992.0,robert johnson+john hammond+honeyboy edwards,walking blues,0,robert johnson,1
1105215,145224,693276,leider,2016.0,eisbrecher,leider (noel pix klingenklang-mix),2006,eisbrecher,1
1107517,668906,226253,she is a liar,1988.0,peter van asten+richard de bois+de dolly dots,she's a liar,1983,dolly dots,1
1116892,689507,294574,come on (live),1999.0,the verve,come on,1991,the nomads,0
1119624,579597,459308,escape from suburbia,1982.0,jerry goldsmith,escape from air force one,1997,jerry goldsmith,0
1132499,688619,54994,no nose blues,1992.0,jimmy ceribello,no rollin' blues,1949,jimmy witherspoon,0
