movie_title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,episode,song_title,artists,song_id,track_id
prison break,2008.0,,,8.4,103.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,first down (#2.4),take me home  country roads,bill danoff+taffy nivert+john denver,633964.0,187644.0
prison break,2008.0,,,8.4,103.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,eagles and angels (#4.4),cherry,ufo,44445.0,187633.0
an american tail: fievel goes west,1991.0,75.0,,6.4,17349.0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,way out west,james horner+will jennings,341490.0,348253.0
the boys are back,2009.0,104.0,,6.8,8859.0,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,pg-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,love me_ chase me,zane carney+reeve carney+john lipscomb+jonathan epcar (blueztelecaster+scissorhandsongs+name pending music+beardedlady music)+carney,437105.0,650819.0
lantana,2001.0,121.0,,7.4,16548.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,r,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,permiso que llego van van,juan formell+los van van,334600.0,511007.0
wake,2003.0,90.0,,6.9,348.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,44.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,dynamite (album),the mother truckers+josh zee+teal collins,22302.0,716497.0
xuxa requebra,1999.0,84.0,,2.0,391.0,64.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,banho de chuveiro,cabo rei+julinho carioca+lazinho do pandeiro+paulo chamusca+terra samba,321504.0,728222.0
hot coffee,2011.0,88.0,,7.6,3224.0,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,i'll sue ya,weird al' yankovic,127884.0,474954.0
panther,1999.0,5.0,,5.5,28.0,0.0,4.5,14.5,14.5,4.5,24.5,24.5,4.5,4.5,4.5,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,the world is a ghetto / get down [live],war +harold r. brown+morris d. dickerson+lonnie jordan+charles miller+lee oskar+howard e. scott ).+da lench mob,787604.0,570721.0
we are your friends,2015.0,96.0,2000000.0,6.1,22125.0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,r,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,sister saviour (dfa dub),tim goldsworthy+luke jenner+james murphy+vito roccoforte+matt safer+the rapture,925425.0,718525.0
welcome to the dollhouse,1995.0,88.0,800000.0,7.5,26760.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,r,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,carnival of the animals: xii. fossils,barry wordsworth_ london symphony orchestra (lso)_ camille saint-saëns,396708.0,719779.0
welcome to the dollhouse,1995.0,88.0,800000.0,7.5,26760.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,r,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,lost in your eyes,debbie gibson+arrangement with warner special products/warner music licensing,465317.0,719782.0
married life,2007.0,91.0,12000000.0,6.3,8058.0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,pg-13,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,got a right to cry,joe liggins+his honeydrippers+arrangement with ocean park music group,663310.0,534242.0
gutter king,2010.0,98.0,,4.4,223.0,14.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,oakland in the rearview,alias,921775.0,461118.0
you don't know jack,2006.0,5.0,3000.0,6.9,23.0,34.5,0.0,0.0,0.0,0.0,4.5,0.0,4.5,4.5,45.5,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,come and get your love,lolly vegas+redbone+arrangement with sony music entertainment,594518.0,729873.0
you don't know jack,2006.0,5.0,3000.0,6.9,23.0,34.5,0.0,0.0,0.0,0.0,4.5,0.0,4.5,4.5,45.5,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,unaccompanied cello suite no. 1 in g-major  bwv 1007: prï¿½lude,johann sebastian bach+yo-yo ma+arrangement with sony music entertainment,533687.0,729878.0
you don't know jack,2006.0,5.0,3000.0,6.9,23.0,34.5,0.0,0.0,0.0,0.0,4.5,0.0,4.5,4.5,45.5,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,early in the morning,dallas bartley+leo hickman+louis jordan+harry nilsson+arrangement with sony music entertainment,248873.0,729870.0
pontiac moon,1994.0,108.0,,5.6,561.0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,pg-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,kansas city,jerry leiber+mike stoller+wilbert harrison,377725.0,579690.0
no subtitles necessary: laszlo & vilmos,2008.0,86.0,,7.8,274.0,4.5,4.5,0.0,4.5,4.5,4.5,24.5,24.5,14.5,24.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,sascha,jolie holland,927248.0,558313.0
the forger,2012.0,94.0,,5.4,4010.0,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,pg-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,moanin',art blakey and the jazz messengers,939747.0,660573.0
the forger,2012.0,94.0,,5.4,4010.0,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,pg-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,prelude to a kiss (1989 digital remaster) (the rudy van gelder edition),horace silver,75898.0,660581.0
vacation,2012.0,2.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,chariots of fire,vangelis,938703.0,710967.0
killing bono,2011.0,114.0,,6.4,5155.0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,r,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,you spin me round (like a record),dead or alive,289019.0,501003.0
you  me and dupree,2006.0,110.0,54000000.0,5.6,68814.0,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,4.5,pg-13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,fix you,guy berryman+will champion+chris martin+jon buckland+coldplay,953095.0,730508.0
you  me and dupree,2006.0,110.0,54000000.0,5.6,68814.0,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,4.5,pg-13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,spanish stroll,willy deville+mink deville,370111.0,730520.0
you  me and dupree,2006.0,110.0,54000000.0,5.6,68814.0,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,4.5,pg-13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,spanish stroll,willy deville+mink deville,484820.0,730520.0
my first mister,2001.0,109.0,,7.3,4964.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,r,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,sandwiches,detroit grand pubahs,82788.0,549840.0
popular,2011.0,10.0,,3.7,35.0,44.5,4.5,14.5,4.5,4.5,4.5,4.5,0.0,4.5,4.5,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,timber! (#2.1),i will find you,maire brennan,381629.0,185397.0
the buddy holly story,1978.0,114.0,1200000.0,7.2,6483.0,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,maybe baby,buddy holly+norman petty+gary busey,170989.0,651631.0
the buddy holly story,1978.0,114.0,1200000.0,7.2,6483.0,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,that'll be the day,buddy holly+jerry allison+norman petty+gary busey,229932.0,651619.0
the buddy holly story,1978.0,114.0,1200000.0,7.2,6483.0,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,corrine  corrina,j. mayo williams+mitchell parish+bo carter+big joe turner,742439.0,651635.0
four jills in a jeep,1944.0,89.0,,6.8,328.0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,14.5,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,(if you can't sing it) you'll have to swing it,sam coslow+martha raye  with jimmy dorsey+his orchestra,566395.0,443720.0
this is it,2009.0,111.0,60000000.0,7.3,33333.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,pg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,heal the world,michael jackson+arrangement with sony music entertainment,391413.0,694893.0
this is it,2009.0,111.0,60000000.0,7.3,33333.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,pg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,black or white (the clivilles & cole    radio mix),michael jackson,877186.0,694887.0
this is it,2009.0,111.0,60000000.0,7.3,33333.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,pg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,black or white,michael jackson,15483.0,694887.0
one mississippi,2011.0,7.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,how bout now  how bout right now (#1.5),ain't life a brook (album version),ferron foisy+ferron,939020.0,172272.0
la linea,2009.0,95.0,7500000.0,5.3,3097.0,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,r,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,love me like a river does,melody gardot,201012.0,508198.0
down,1999.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,hot shot (hot shot (maxroxx remake)) 130 bpm,karen young,223756.0,420385.0
the great everything & the nothing,2016.0,215.0,,9.2,14.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,84.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,still d.r.e.,dr. dre  ft. snoop dogg,25313.0,663054.0
the great everything & the nothing,2016.0,215.0,,9.2,14.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,84.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,quiet houses/heard them stirring,fleet foxes,143162.0,663061.0
the great everything & the nothing,2016.0,215.0,,9.2,14.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,84.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,the song remains the same (2007 remastered album version),jimmy page+robert plant+led zeppelin,44777.0,663053.0
you can't hurry love,1988.0,92.0,,4.6,338.0,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,you can't hurry love  (lp version),eddie holland+lamont dozier+brian holland+phil collins+arrangement with warner special products,36942.0,729825.0
drive angry,2012.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,you want the candy,sune wagner+the raveonettes,35583.0,421988.0
the stag,2009.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,you are my sunshine,jimmie davis+the last tycoons,446951.0,685686.0
terminal city ricochet,1990.0,107.0,,5.8,118.0,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,24.5,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,that's progress,jello biafra with d.o.a.,98709.0,641875.0
final destination,2000.0,98.0,23000000.0,6.7,182654.0,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,all the candles in the world (lp version),jane siberry+arrangement with warner special products,685657.0,439346.0
watercolor postcards,2013.0,115.0,2250000.0,5.1,217.0,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,pg-,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,help me make it through the night,kris kristofferson+laura bell bundy+conrad goode,461742.0,718156.0
la personne aux deux personnes,2008.0,90.0,,5.7,772.0,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,no stress,laurent wolf,132033.0,508798.0
the coming thing,1970.0,77.0,,3.8,5.0,24.5,0.0,44.5,0.0,0.0,44.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,i ain't superstitious,willie dixon+the jeff beck group,744416.0,653689.0
lou,2009.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,free,olivia waithe+eliseus joseph jr+julian griffith+livvi franc,317776.0,524309.0
nativity 2: danger in the manger!,2012.0,105.0,,5.4,1647.0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,jingle bells,james pierpont+the puppini sisters,395204.0,553264.0
nativity 2: danger in the manger!,2012.0,105.0,,5.4,1647.0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,rehab,amy winehouse,483312.0,553263.0
nativity 2: danger in the manger!,2012.0,105.0,,5.4,1647.0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,rehab,amy winehouse,935932.0,553263.0
new orleans,1947.0,90.0,,6.8,256.0,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,honky tonk train blues,meade lux lewis,428207.0,555310.0
new orleans,1947.0,90.0,,6.8,256.0,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,honky tonk train blues,meade lux lewis,486243.0,555310.0
new orleans,1947.0,90.0,,6.8,256.0,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,honky tonk train blues,meade 'lux' lewis,868891.0,555310.0
what happens in vegas,2008.0,99.0,35000000.0,6.1,141795.0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,pg-13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,put a record on,rick webster+unkle bob+arrangement with zync music inc.,197350.0,720633.0
what happens in vegas,2008.0,99.0,35000000.0,6.1,141795.0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,pg-13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,flashdance...what a feeling,giorgio moroder+keith forsey+irene cara,441173.0,720630.0
the girl,2009.0,10.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,love takes time,orleans+larry hoppen+marilyn mason+arrangment with spirit music group+inc.,415600.0,661731.0
surviving christmas,2004.0,91.0,45000000.0,5.3,17446.0,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,pg-13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,coming home,keith slettedahl+the 88,487502.0,635798.0
lip service,2013.0,90.0,,4.7,264.0,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,pg,0.0,0.0,0.0,1.0,0.0,1.0,0.0,(#1.4),cotton covering,zoey van goey,672614.0,139104.0
lip service,2013.0,90.0,,4.7,264.0,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,pg,0.0,0.0,0.0,1.0,0.0,1.0,0.0,(#1.3),dancing in the moonlight (it's caught me in it's spotlight),thin lizzy,88509.0,139089.0
lip service,2013.0,90.0,,4.7,264.0,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,pg,0.0,0.0,0.0,1.0,0.0,1.0,0.0,(#1.3),dancing in the moonlight,thin lizzy,201862.0,139089.0
lip service,2013.0,90.0,,4.7,264.0,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,pg,0.0,0.0,0.0,1.0,0.0,1.0,0.0,(#1.5),we dont have that kind of bread,zoey van goey,413328.0,139111.0
beware the gonzo,2010.0,94.0,,6.4,1296.0,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,light sweet crude (album),obits+rick froberg+sohrab habibion+scott gursky+greg simpson,209872.0,366207.0
bound for glory,1976.0,120.0,,7.4,3624.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,the sinking of the reuben james,woody guthrie & jack elliott,668234.0,374749.0
fever pitch,2005.0,104.0,30000000.0,6.2,36447.0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,pg-13,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,tessie,the dropkick murphys,633413.0,438524.0
margot at the wedding,2007.0,93.0,10000000.0,6.1,15534.0,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,r,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,clair,gilbert o'sullivan,855243.0,533539.0
rush,1983.0,77.0,,4.8,97.0,14.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,0.0,14.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,the south's gonna do it again,charlie daniels+the charlie daniels band+arrangement with sony music licensing,914105.0,600836.0
strike!,2002.0,20.0,20000.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,come to me,otis redding+arrangement with warner special products,811635.0,632649.0
the adventures of sebastian cole,1998.0,99.0,,6.9,1707.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,r,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,stuck in a phase,l.e.s. stitches,622127.0,645910.0
the adventures of sebastian cole,1998.0,99.0,,6.9,1707.0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,r,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,blank generation (remastered album version),richard hell & the voidoids,646430.0,645912.0
bluesland: a portrait in american music,1993.0,85.0,,7.8,16.0,0.0,0.0,0.0,0.0,4.5,4.5,34.5,24.5,4.5,14.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,sweet little angel,b.b. king,194997.0,372258.0
damages,2013.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,flights at 11:08 (#3.3),we're not gonna take it,hellsongs,484144.0,55803.0
the world is just a 'b' movie,1971.0,90.0,,7.4,7.0,14.5,0.0,0.0,0.0,14.5,14.5,0.0,0.0,0.0,45.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,world is just a 'b' movie meets reno_ funtown_ u.s.a.,bob lind,163226.0,692175.0
the butcher,2009.0,95.0,,5.5,624.0,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,mamma voglio anch'io la fidanzata,o. de santis+e. del pino+natalino otto,490146.0,651817.0
catfish,2015.0,10.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,learning the lie,joel gibb+the hidden cameras,61786.0,386771.0
the writer,2007.0,7.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,nice dream,radiohead tribute,276110.0,692522.0
porky's ii: the next day,1983.0,98.0,6500000.0,4.9,8711.0,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,hearts of stone,eddie ray+rudy jackson+the fontane sisters,517277.0,580628.0
porky's ii: the next day,1983.0,98.0,6500000.0,4.9,8711.0,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,hearts of stone,eddie ray+rudy jackson+the fontane sisters,574579.0,580628.0
royal flash,1975.0,102.0,,6.7,1441.0,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,24.5,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,pomp and circumstance march no. 4 in g op. 39 no. 4 (1993 digital remaster),sir edward elgar,69026.0,599669.0
a walk to beautiful,2007.0,85.0,,8.2,141.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,34.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,afrika,dave eggar+left of blue+tom rossi,906680.0,336778.0
