,id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year,gold_label
250,3019,3814,839215,welcome to the 80s,2009,welcome to the zoo,2012,0
63,868,383,840841,what happens in vegas,2008,what happens in vegas,2008,1
312,3734,4559,757066,the roommate,2011,the roommate (ii),2010,0
159,1961,1724,341408,into the wild,2007,into the wake,2012,0
283,3432,6071,527588,once upon a time,2011,once upon a time in detroit,2016,0
340,4046,1377,758556,the school of rock,2003,the school of rock,2003,1
81,1086,4398,740133,the mindy project, 2004,the mars project,2008,0
349,4162,864,110758,breaking the waves,1996,breaking the bank,2000,0
153,1840,2581,770116,the truth about charlie,2002,the truth about gi joe,2002,0
295,3580,455,508992,control,2007,no control,2011,0
96,1270,5531,134007,cheaper by the dozen 2,2005,cheaper by the dozen,2003,0
89,1165,4199,760558,the shield,2002,the shield,2002,1
296,3582,6854,745524,the affair,2014,the nobistor affair,2017,0
21,231,3850,510994,nobody,2012,nobody,2007,0
365,4288,3707,631664,shameless,2011,shameless,2016,0
216,2546,5156,744471,the social network,2010,the network,2015,0
259,3086,2356,744743,the neighbors, 2009,the new neighbors,2009,0
49,691,5504,616903,saturday night live, 2009,saturday night thing,2014,0
238,2819,1519,111570,going the distance,2010,bridging the distance,2013,0
343,4075,3617,412723,le ciel est � nous,1997,le ciel est ? nous,1997,0
92,1247,4448,694824,the box,2009,the aztec box,2013,0
223,2595,879,711880,the dream, 2003,the dream,2006,0
234,2741,3770,835786,wasting away,2007,wasting away,2007,1
232,2685,6614,471461,middle of nowhere,2008,middle of nowhere,2010,0
377,4430,7038,259871,frida,2002,frida,2001,0
142,1755,974,543491,papurika,2006,papurika,2006,1
22,234,5660,756157,the wedding ringer,2015,the ringer,2013,0
252,3039,5360,180562,der krieger und die kaiserin,2000,der krieger und die kaiserin,2000,1
350,4163,2432,110758,breaking the waves,1996,breaking the bank,2000,0
168,2082,1214,223879,empty sky,2011,empty,2008,0
150,1812,6854,741325,the affair,2014,the midnite affair,2011,0
393,4618,225,722282,the grand,2007,the grand theft,2011,0
66,897,371,93229,beware the gonzo,2010,beware the gonzo,2010,1
240,2887,2485,833484,walk on boy,2012,walk on by,2014,0
218,2567,6773,48742,alpha and omega, 2005,alpha & omega,2003,0
101,1352,3998,51107,american beauty,1999,american beauty,1999,1
311,3733,2832,757066,the roommate, 2009,the roommate (ii),2010,0
194,2320,2386,820006,valentines day,2010,valentines day,2014,1
326,3905,162,260256,friends with kids,2011,friends with benefits,2011,0
17,172,2906,855979,xuxa requebra,1999,xuxa requebra,1999,1
164,2039,1707,771864,valentine,2001,the valentine,2000,0
186,2240,7017,649457,so you think you can dance canada,2008,so you think you can kill,2013,0
30,442,6869,819378,vacation,2015,vacation,2012,0
114,1468,2267,649458,so you think you can dance, 2009,so you think you can prance,2013,0
263,3123,3215,774230,the wedding date,2005,the wedding,2001,0
103,1377,4733,691153,the 40 year old virgin,2005,the 40 year old virgin,2005,1
358,4267,2860,778213,thelma & louise,1991,thelma & louise,1991,1
245,2945,5504,616880,saturday night live, 2009,saturday night,2011,0
235,2789,2783,854904,xanadu,1980,xanadu,1980,1
116,1476,2492,649458,so you think you can dance, 2009,so you think you can prance,2013,0
330,3934,660,165397,dance with me,1998,dance with me,2003,0
120,1488,7017,649458,so you think you can dance canada,2008,so you think you can prance,2013,0
289,3529,5182,165744,dancing with the stars,2005,dancing with the pros,2005,0
112,1429,5001,839143,welcome to the 80s,2009,welcome to the bathtub,2011,0
215,2545,7146,527569,once upon a time,2011,once upon a time,2014,0
136,1713,1666,222515,ellis in glamourland,2004,ellis in glamourland,2004,1
275,3343,2371,746776,the way, 1972,the only way,1970,0
126,1561,6105,418901,led zeppelin: celebration day,2012,led zeppelin: celebration day,2012,1
198,2356,2050,464667,medium,2005,medium,2007,0
299,3586,1134,839145,welcome to the 80s,2009,welcome to the bubs,2013,0
281,3419,4360,314301,house of wax,2005,house of wong,2008,0
133,1702,5467,154573,county kilburn,2000,county kilburn,2000,1
33,478,6235,737099,the look of love,2013,the love,2016,0
378,4444,7167,86948,beautiful  beautiful,2011,beautiful phil,2011,0
162,1980,4884,747439,the way,2010,the other way,2010,0
34,481,944,49344,alvin and the chipmunks,2007,alvin and the chipmunks easter collection,2012,0
231,2683,509,579020,qualquer gato vira-lata,2011,qualquer gato vira-lata 2,2015,0
97,1273,47,858143,year of the dog,2007,year of the rat,2011,0
85,1142,2099,29489,a walk to beautiful,2007,a walk to beautiful,2007,1
61,832,1351,331908,imitation life,2008,imitation,2007,0
167,2072,58,748062,the pink panther,2006,the panther,2007,0
282,3428,6669,57569,angel,1999,angel,2004,0
200,2368,6329,731979,the last american virgin,1982,the last american virgin,1982,1
391,4566,3505,673902,surfacing,2015,surfacing,2016,0
230,2677,6849,187953,die antwort kennt nur der wind,1974,die antwort kennt nur der wind,1974,1
287,3519,6664,314217,house of 9, 2003,house of luk,2001,0
108,1418,5690,839143,welcome to the 80s,2009,welcome to the bathtub,2011,0
46,622,5462,745191,the girl,2012,the night girl,2016,0
320,3828,6005,766304,the coming thing,1970,the swing thing,1972,0
396,4633,6581,725129,the soul of a man, 1964,the heart of a man,1959,0
224,2610,1953,731353,the kremlin letter,1970,the kremlin letter,1970,1
73,979,574,690906,the x factor, 2009,the 'wow' factor,2011,0
137,1714,704,222515,ellis in glamourland,2004,ellis in glamourland,2004,1
381,4479,4272,820005,valentines day,2010,valentines day,2007,0
220,2579,3598,669474,subterranean,2003,subterranean,1999,0
210,2472,1845,765793,things behind the sun,2001,the sun behind the blind,2006,0
29,427,1215,718195,the forger,2012,the forger,2012,1
181,2191,4020,298065,heavy petting,1989,heavy petting,1991,1
360,4273,934,761471,the singing detective,2003,the singing detective,2003,1
271,3241,6454,699139,the mindy project,2012,the body project,2011,0
51,729,5747,536408,shes out of control,1989,out of control,1992,0
328,3922,3739,867896,zombified 3d,2016,zombified 3d,2016,1
352,4202,2987,401052,la linea,2009,la prima linea,2009,0
27,387,2803,720974,the hardy girls, 1970,the girls,1968,0
2,40,307,53603,an american tail: fievel goes west,1991,an american tail: fievel goes west,1991,1
217,2556,1714,848996,win win,2011,win,2012,0
156,1910,3919,358303,joy division,2007,joy division,2007,1
212,2524,6719,337034,independent lens,1999,independent,1998,0
376,4428,814,442309,bored to death,2009,loved to death,2007,0
221,2587,6184,834673,war dogs,2016,war dogs,2016,1
138,1717,5809,693287,the interview,2014,the ann handle interview,2014,0
236,2808,763,546449,man of the year,2006,party of the year,2005,0
219,2578,2991,669474,subterranean,2003,subterranean,1999,0
274,3315,6583,512488,norbit,2007,norbit,2007,1
278,3362,595,730706,the crying game,1992,the killing game,1988,0
307,3630,2598,697321,the big empty,2005,the big city,2010,0
239,2853,7146,527616,once upon a time,2011,once upon a time in space,2016,0
35,495,5722,106229,bones,2005,bones,2001,0
204,2391,763,265876,man of the year,2006,game of the year,2009,0
392,4596,4295,760301,the swing of things, 1996,the shape of things,2001,0
67,918,5376,692499,the butcher,2013,the alabama butcher,2016,0
24,309,1759,839154,welcome to the dollhouse,1995,welcome to the dollhouse,1995,1
332,3950,7146,527631,once upon a time,2011,once upon a time in the cia,2007,0
44,574,4745,722609,the great everything & the nothing,2016,the great everything & the nothing,2016,1
241,2890,706,759331,the secret life of pets,2016,the secret life of marionettes,2013,0
129,1630,760,812212,undercover brother,2002,undercover brother,2002,1
93,1248,4496,667905,strike!, 1965,strike!,1965,1
111,1427,2414,839143,welcome to the 80s,2009,welcome to the bathtub,2011,0
166,2071,57,748062,the pink panther,2006,the panther,2007,0
389,4559,3347,269754,gentlemen broncos,2009,gentlemen broncos,2009,1
383,4496,2232,692958,american nightmare,2002,the american nightmare,2000,0
342,4059,6071,527506,once upon a time,2011,once upon a hill,2010,0
40,534,6148,256575,four jills in a jeep,1944,four jills in a jeep,1944,1
18,215,1559,542717,panther,1995,panther,1999,1
284,3434,4448,768522,the box,2009,the tin box,2013,0
79,1081,447,173538,dead end drive-in, 2003,dead end drive,2007,0
249,3014,1134,839215,welcome to the 80s,2009,welcome to the zoo,2012,0
394,4621,7146,527625,once upon a time,2011,once upon a time in venice,2016,0
71,972,4906,103885,bluesland: a portrait in american music,1993,bluesland: a portrait in american music,1993,1
13,128,4088,839179,welcome to the 80s,2009,welcome to the majority,2013,0
367,4325,6375,482962,morning light,2008,morning light,2010,0
213,2526,5623,337034,independent lens,1999,independent,1998,0
385,4513,5413,139820,chun gwong cha sit,1997,chun gwong cha sit,1997,1
388,4551,412,492914,my name is earl,2005,my name is naji,2010,0
228,2662,6462,705110,the debt collector,1999,the collector,1997,0
160,1962,3103,373323,kill your darlings, 2005,kill your darling,2007,0
104,1378,425,691153,the 40 year old virgin,2005,the 40 year old virgin,2005,1
161,1975,4895,805116,u2: under a blood red sky,1983,u2: under a blood red sky,1983,1
83,1101,799,52415,waking the dead, 1997,among the dead,1997,0
189,2254,1423,649457,so you think you can dance canada,2008,so you think you can kill,2013,0
397,4648,87,8526,90 minutes in heaven,2015,7 minutes in heaven,2011,0
118,1482,3074,649458,so you think you can dance canada,2008,so you think you can prance,2013,0
254,3043,3323,639562,siete mesas de billar franc�s,2007,siete mesas de billar franc?s,2007,1
188,2247,5168,649457,so you think you can dance canada,2008,so you think you can kill,2013,0
208,2420,5553,321621,i spill your guts,2012,i spill your guts,2012,1
375,4417,2193,515144,now is good,2012,now is good,2012,1
110,1426,1894,839143,welcome to the 80s,2009,welcome to the bathtub,2011,0
149,1804,5327,756820,the rocketeer,1991,the rocketeer,1991,1
157,1929,137,492919,my name is joe, 1968,my name is oona,1969,0
152,1825,1285,837461,we need to talk about kevin,2011,we need to talk about barbie,2016,0
16,162,1816,78112,riris back to work,2016,back to work,2013,0
269,3180,482,781782,threat,2006,threat,2010,0
75,1009,3276,776498,the world is just a b movie,1971,the world is just a 'b' movie,1971,1
109,1424,1817,839143,welcome to the 80s,2009,welcome to the bathtub,2011,0
327,3918,719,335454,in the land of women,2007,in the land of g-d,2009,0
205,2393,6258,747781,the nanny diaries,2007,the pbr diaries,2012,0
315,3751,7167,86882,beautiful  beautiful,2011,beautiful ink,2016,0
139,1733,590,563806,pollock,2000,pollock,2000,1
237,2813,5450,774448,the wendell baker story,2005,the wendell baker story,2005,1
319,3797,7167,791017,beautiful  beautiful,2011,too beautiful,2016,0
248,2991,550,741479,call the midwife,2012,the midwife,2012,0
308,3648,3023,850992,without limits,1998,without limits,1998,1
19,222,4630,712566,this is the end,2013,the end,2016,0
226,2647,5371,506541,new orleans,1947,night in new orleans,1942,0
306,3622,6669,57561,angel, 1981,angel,1982,0
3,42,2634,527545,once upon a wheel,1971,once upon a scoundrel,1974,0
276,3355,3639,206827,dumb and dumber to,2014,dumb and dumber to,2014,1
125,1560,1457,418901,led zeppelin: celebration day,2012,led zeppelin: celebration day,2012,1
77,1052,3913,204000,dreamtime,2002,dreamtime,2006,0
184,2223,6301,649457,so you think you can dance, 2009,so you think you can kill,2013,0
301,3592,4370,839145,welcome to the rileys,2010,welcome to the bubs,2013,0
379,4445,6154,248407,fireproof,2008,fireproof,2013,0
346,4130,595,763203,the crying game,1992,the spanking game,1993,0
182,2192,3349,266686,garbage! the revolution starts at home,2007,garbage! the revolution starts at home,2007,1
356,4231,4034,820193,valley girl,1983,valley girl,1983,1
80,1085,1281,740133,the mindy project,2012,the mars project,2008,0
258,3077,3713,515101,now & forever,2002,now & forever,2002,1
11,126,4565,839179,welcome to the 80s,2009,welcome to the majority,2013,0
298,3585,5690,839145,welcome to the 80s,2009,welcome to the bubs,2013,0
86,1147,854,736771,the lost city,2005,the lost colony,2007,0
266,3128,4180,774230,the wedding singer,1998,the wedding,2001,0
36,496,5730,106229,bones,2005,bones,2001,0
382,4482,971,820005,valentines day,2010,valentines day,2007,0
58,776,1592,708979,the singing detective,2003,the dead detective,2008,0
41,538,1257,780446,this is it,2009,this is it,2009,1
270,3187,5448,633221,shes having a baby,1988,she's having a baby,1988,1
50,712,5890,187319,diary, 1994,diary,1998,0
209,2428,2943,399252,la mujer de mi vida,1998,la mujer de mi vida,2001,0
317,3777,771,485676,baseball,1994,mr. baseball,1992,0
316,3754,1342,538405,p.o.v., 2003,p.o.v.,2000,0
331,3949,331,527631,once upon a time in the midlands,2002,once upon a time in the cia,2007,0
123,1528,5526,76361,baseketball,1998,baseketball,1998,1
222,2594,4316,711880,the dream, 2003,the dream,2006,0
62,867,5879,840841,what happens in vegas,2008,what happens in vegas,2008,1
302,3593,1817,839145,welcome to the 80s,2009,welcome to the bubs,2013,0
130,1650,6877,672851,super,2010,super power,2013,0
187,2242,2981,649457,so you think you can dance, 2010,so you think you can kill,2013,0
23,308,4671,839154,welcome to the dollhouse,1995,welcome to the dollhouse,1995,1
43,555,2987,397695,la linea,2009,la linea,2009,1
0,33,3476,571847,prison break,2005,prison break,2008,1
201,2370,3288,731979,the last american virgin,1982,the last american virgin,1982,1
339,4044,2605,758556,the school of rock,2003,the school of rock,2003,1
98,1292,939,108902,boy eats girl,2005,boy greets girl,2008,0
387,4547,7247,492914,my name is earl,2005,my name is naji,2010,0
178,2154,6168,714690,the l word,2004,the f word,2005,0
256,3060,3027,720932,the boy with the hungry eyes,1970,the girl with the hungry eyes,1967,0
94,1255,600,801615,tuno negro,2001,tuno negro,2001,1
369,4344,7092,708010,the hunter,2011,the dakota hunter,2011,0
95,1257,17,698578,the bleeding,2011,the bleeding,2011,1
351,4177,4865,797599,trick r treat,2007,trick or treat,2007,1
169,2092,6187,715433,the family man,2000,the family web,1998,0
69,943,573,860471,you again,2010,you again,2010,1
305,3619,6880,411119,le premier cercle,2009,le cercle,2012,0
48,685,1168,616903,saturday night live, 2009,saturday night thing,2014,0
207,2418,4011,763421,the dark chronicles,2011,the spiderwick chronicles,2008,0
279,3383,1135,389274,looking: the movie,2016,l: the movie,2013,0
227,2658,6673,690055,sing sing thanksgiving, 1990,thanksgiving,1990,0
148,1798,6902,317498,human traffic, 2010,human traffic,2011,1
143,1767,3845,566876,post mortem,1999,post mortem,2001,0
180,2182,11,764060,the good shepherd,2006,the star shepherd,2011,0
131,1661,1019,116960,burning palms,2010,burning palms,2010,1
357,4241,1658,377340,knockout, 2002,knockout,2007,0
398,4649,6299,8526,90 minutes in heaven,2015,7 minutes in heaven,2011,0
262,3119,3836,245597,fifty,1999,fifty,1999,1
324,3887,5993,184062,desperado,1995,desperado,1995,1
203,2385,1045,513891,not a photograph: the mission of burma story,2006,not a photograph: the mission of burma story,2006,1
84,1111,5764,448918,made in chelsea, 2010,made in china,2006,0
121,1519,2067,802266,tusk,2014,tusk,2014,1
345,4099,6124,424749,forget me not, 2006,let me not,2007,0
366,4300,5796,540878,pale blood,1990,pale blood,1990,1
91,1239,6458,743035,the motel life,2012,the motel,2010,0
82,1087,6454,740133,the mindy project,2012,the mars project,2008,0
267,3170,1300,762896,the soul of a man,2003,the soul of a man,2003,1
119,1484,5153,649458,so you think you can dance, 2009,so you think you can prance,2013,0
291,3532,433,165744,dancing with the stars,2005,dancing with the pros,2005,0
57,758,2026,854181,wrong side of town,2010,wrong side of the bus,2009,0
321,3837,6492,743978,the l word, 2006,the n word,2011,0
257,3063,5749,695121,the bag man,2014,the bad man,2015,0
355,4225,2445,294676,the tell-tale heart, 2005,haunted poe: the tell-tale heart,2009,0
42,552,47,288715,year of the dog,2007,hair of the dog,2008,0
105,1385,4316,728075,the dream,2014,the impossible dream,2017,0
368,4336,449,576351,punks dead: slc punk 2,2016,punk's dead: slc punk 2,2016,1
273,3293,2258,314216,house of 9, 2003,house of love,2000,0
353,4218,4832,121699,cama de gato,2009,cama de gato,2012,0
38,515,6077,631917,shelter,2014,shangku shelter,2017,0
53,731,3320,536408,shes out of control,1989,out of control,1992,0
347,4131,139,763203,the crying game,1992,the spanking game,1993,0
128,1619,7146,527656,once upon a time,2011,once upon a time...,2006,0
290,3530,6402,165744,dancing with the stars,2005,dancing with the pros,2005,0
28,426,6144,718195,the forger,2012,the forger,2012,1
183,2216,6190,649457,so you think you can dance canada,2008,so you think you can kill,2013,0
163,1981,2371,747439,the way,2010,the other way,2010,0
151,1813,4396,741325,the affair,2014,the midnite affair,2011,0
244,2938,6443,616880,saturday night live, 2006,saturday night,2011,0
202,2384,783,735290,the kill list,2007,the list,2005,0
31,447,2664,373755,killing bono,2011,killing bono,2011,1
32,470,5462,721809,the girl,2012,the good girl,2011,0
127,1605,3348,555996,pi,1998,pi,1998,1
185,2232,4460,649457,so you think you can dance canada,2008,so you think you can kill,2013,0
372,4377,5163,300352,the rainmaker, 1952,henry  the rainmaker,1949,0
288,3520,2258,314217,house of 9, 2003,house of luk,2001,0
362,4284,3864,845394,white men cant jump,1992,white men can't jump,1992,1
147,1797,2001,317498,human traffic, 2010,human traffic,2011,1
285,3435,3549,95765,big mommas house,2000,big momma's house,2000,1
370,4361,5174,838957,welcome to me,2014,welcome to ebensee,2014,0
177,2150,828,259908,friday night lights,2006,friday night,2011,0
99,1306,7003,740342,the master,2012,the master,2012,1
338,4037,6004,733170,the last stand,2013,the last stop,2013,0
335,4000,588,293526,harry brown,2009,harry brown,2009,1
197,2329,3622,733814,the lather effect,2006,the lazarus effect,2010,0
243,2935,1821,616880,saturday night live, 2010,saturday night,2011,0
115,1472,4460,649458,so you think you can dance canada,2008,so you think you can prance,2013,0
265,3127,2753,774230,the wedding tackle,2000,the wedding,2001,0
72,976,4448,737115,the box,2009,the love box,2007,0
333,3951,6071,527631,once upon a time,2011,once upon a time in the cia,2007,0
25,312,584,459251,married life,2007,married life,2007,1
165,2069,1771,553780,person of interest,2011,persons of interest,2009,0
337,4033,7260,846544,whole new thing,2005,whole new thing,2005,1
384,4512,1741,362857,kaboom, 2009,kaboom,2008,0
174,2147,4820,259908,friday night lights,2006,friday night,2011,0
386,4533,7167,86923,beautiful  beautiful,2011,beautiful mum,2014,0
39,530,3359,701020,the buddy holly story,1978,the buddy holly story,1978,1
193,2311,4247,701419,the doe boy,2001,the bus boy,2003,0
314,3743,7092,743503,the hunter,2011,the mushroom hunter,2013,0
88,1163,7121,760558,the shield,2002,the shield,2002,1
70,969,2588,692126,the adventures of sebastian cole,1998,the adventures of sebastian cole,1998,1
87,1160,6819,760558,the shield,2002,the shield,2002,1
292,3533,3025,165744,dancing with the stars,2004,dancing with the pros,2005,0
242,2924,6291,616880,saturday night live, 2007,saturday night,2011,0
277,3356,4358,206827,dumb and dumber to,2014,dumb and dumber to,2014,1
211,2507,114,108924,boy eats girl,2005,boy meets girl,2007,0
9,117,174,839179,welcome to the 80s,2009,welcome to the majority,2013,0
359,4272,874,761471,the singing detective,2003,the singing detective,2003,1
195,2321,971,820006,valentines day,2010,valentines day,2014,1
251,3024,2414,839215,welcome to the 80s,2009,welcome to the zoo,2012,0
323,3886,5156,762473,the social network,2010,the social suicide network,2011,0
192,2300,1008,761412,the simpsons movie,2007,the simpsons ride,2008,0
117,1481,969,649458,so you think you can dance, 2010,so you think you can prance,2013,0
47,643,2,723943,the warriors, 1979,the gypsy warriors,1978,0
172,2143,3197,259908,friday night lights, 2007,friday night,2011,0
