id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year,gold_label
33,3476,571847,prison break,2005,prison break,2008,1
34,2365,828790,las vegas,"[2003, 1963]",viva las vegas,1964,0
40,307,53603,an american tail: fievel goes west,1991,an american tail: fievel goes west,1991,1
42,2634,527545,once upon a wheel,1971,once upon a scoundrel,1974,0
73,4723,700054,the boys are back,2009,the boys are back,2009,1
95,5055,778540,here i am,"[2011, 2006]",there i am,2011,0
111,3714,498542,narco,2004,narco,2004,1
114,5690,839179,welcome to the 80s,"[2009, 1981]",welcome to the majority,2013,0
116,3244,839179,welcome to the 80s,"[2009, 1986]",welcome to the majority,2013,0
117,174,839179,welcome to the 80s,"[2009, 1988]",welcome to the majority,2013,0
118,2251,839179,welcome to the 80s,"[2009, 1985]",welcome to the majority,2013,0
126,4565,839179,welcome to the 80s,2009,welcome to the majority,2013,0
127,2038,839179,welcome to the 80s,"[2009, 1980]",welcome to the majority,2013,0
128,4088,839179,welcome to the 80s,"[2009, 2006]",welcome to the majority,2013,0
139,935,827245,vinyl,"[2016, 2000]",vinyl,2000,1
150,4047,372363,kick-ass,"[2010, 2008]",kick-ass 2,2013,0
162,1816,78112,riris back to work,"[2016, 2005]",back to work,2013,0
172,2906,855979,xuxa requebra,1999,xuxa requebra,1999,1
215,1559,542717,panther,1995,panther,1999,1
222,4630,712566,this is the end,"[2013, 1982]",the end,2016,0
225,3887,754865,the deal,"[2008, 2006]",the reel deal,2002,0
231,3850,510994,nobody,2012,nobody,2007,0
234,5660,756157,the wedding ringer,"[2015, 2009]",the ringer,2013,0
308,4671,839154,welcome to the dollhouse,1995,welcome to the dollhouse,1995,1
309,1759,839154,welcome to the dollhouse,1995,welcome to the dollhouse,1995,1
312,584,459251,married life,"[2007, 2004]",married life,2007,1
321,4615,860761,you dont know jack,"[2010, 1973]",you don't know jack,2006,1
387,2803,720974,the hardy girls,"[1974, 1970]",the girls,1968,0
426,6144,718195,the forger,"[2012, 1988]",the forger,2012,1
427,1215,718195,the forger,2012,the forger,2012,1
442,6869,819378,vacation,"[2015, 1981]",vacation,2012,0
447,2664,373755,killing bono,"[2011, 1984]",killing bono,2011,1
470,5462,721809,the girl,2012,the good girl,2011,0
478,6235,737099,the look of love,"[2013, 1996]",the love,2016,0
481,944,49344,alvin and the chipmunks,"[2007, 1980]",alvin and the chipmunks easter collection,2012,0
495,5722,106229,bones,"[2005, 2010]",bones,2001,0
496,5730,106229,bones,2005,bones,2001,0
510,4316,711942,the dream,"[2014, 2003]",the dream role,2011,0
515,6077,631917,shelter,2014,shangku shelter,2017,0
530,3359,701020,the buddy holly story,"[1978, 1973]",the buddy holly story,1978,1
534,6148,256575,four jills in a jeep,1944,four jills in a jeep,1944,1
538,1257,780446,this is it,2009,this is it,2009,1
552,47,288715,year of the dog,2007,hair of the dog,2008,0
555,2987,397695,la linea,"[2009, 2008]",la linea,2009,1
574,4745,722609,the great everything & the nothing,"[2016, 1999]",the great everything & the nothing,2016,1
606,3632,251022,flight,"[2012, 1972]",flight,1967,0
622,5462,745191,the girl,2012,the night girl,2016,0
643,2,723943,the warriors,"[2005, 1979]",the gypsy warriors,1978,0
685,1168,616903,saturday night live,"[1975, 2009]",saturday night thing,2014,0
691,5504,616903,saturday night live,"[1975, 2009]",saturday night thing,2014,0
712,5890,187319,diary,"[2010, 1994]",diary,1998,0
729,5747,536408,shes out of control,"[1989, 1959]",out of control,1992,0
730,4302,536408,shes out of control,"[1989, 1959]",out of control,1992,0
731,3320,536408,shes out of control,"[1989, 1959]",out of control,1992,0
737,3132,458298,woman in the mirror,2013,marie in the mirror,2010,0
745,1501,803900,one night stand,"[2010, 1989]",two night stand,2005,0
750,7102,537630,somewhere over the rainbow,"[2014, 1978]",over the rainbow,2015,0
758,2026,854181,wrong side of town,"[2010, 2007]",wrong side of the bus,2009,0
776,1592,708979,the singing detective,2003,the dead detective,2008,0
782,874,708979,the singing detective,2003,the dead detective,2008,0
822,7074,499501,nativity 2: danger in the manger!,"[2012, 2006]",nativity 2: danger in the manger!,2012,1
832,1351,331908,imitation life,"[2008, 2004]",imitation,2007,0
867,5879,840841,what happens in vegas,"[2008, 2006]",what happens in vegas,2008,1
868,383,840841,what happens in vegas,"[2008, 1997]",what happens in vegas,2008,1
876,5870,419292,legend,"[2015, 1999]",legend,2013,0
885,6603,674279,surviving christmas,"[2004, 2009]",surviving christmas,2004,1
897,371,93229,beware the gonzo,"[2010, 2009]",beware the gonzo,2010,1
918,5376,692499,the butcher,"[2013, 2005]",the alabama butcher,2016,0
921,6313,94733,friends,1994,bi friends,1996,0
943,573,860471,you again,"[2010, 2003]",you again,2010,1
969,2588,692126,the adventures of sebastian cole,1998,the adventures of sebastian cole,1998,1
972,4906,103885,bluesland: a portrait in american music,1993,bluesland: a portrait in american music,1993,1
976,4448,737115,the box,2009,the love box,2007,0
979,574,690906,the x factor,"[2004, 2009]",the 'wow' factor,2011,0
991,4920,690906,the x factor,"[2004, 2008]",the 'wow' factor,2011,0
1009,3276,776498,the world is just a b movie,1971,the world is just a 'b' movie,1971,1
1045,6071,527636,once upon a time,2011,once upon a time in the east,2011,1
1052,3913,204000,dreamtime,"[2002, 2001]",dreamtime,2006,0
1069,1966,565555,porkys ii: the next day,"[1983, 1986]",porky's ii: the next day,1983,1
1081,447,173538,dead end drive-in,"[1986, 2003]",dead end drive,2007,0
1085,1281,740133,the mindy project,"[2012, 1976]",the mars project,2008,0
1086,4398,740133,the mindy project,"[2012, 2004]",the mars project,2008,0
1087,6454,740133,the mindy project,2012,the mars project,2008,0
1101,799,52415,waking the dead,"[2000, 1997]",among the dead,1997,0
1111,5764,448918,made in chelsea,"[2011, 2010]",made in china,2006,0
1142,2099,29489,a walk to beautiful,"[2007, 2005]",a walk to beautiful,2007,1
1147,854,736771,the lost city,2005,the lost colony,2007,0
1160,6819,760558,the shield,"[2002, 2000]",the shield,2002,1
1163,7121,760558,the shield,"[2002, 2003]",the shield,2002,1
1165,4199,760558,the shield,"[2002, 2000]",the shield,2002,1
1236,854,704269,the lost city,2005,the city,2010,1
1239,6458,743035,the motel life,"[2012, 2002]",the motel,2010,0
1247,4448,694824,the box,2009,the aztec box,2013,0
1248,4496,667905,strike!,"[1998, 1965]",strike!,1965,1
1255,600,801615,tuno negro,"[2001, 2000]",tuno negro,2001,1
1257,17,698578,the bleeding,"[2011, 2008]",the bleeding,2011,1
1270,5531,134007,cheaper by the dozen 2,2005,cheaper by the dozen,2003,0
1273,47,858143,year of the dog,2007,year of the rat,2011,0
1292,939,108902,boy eats girl,"[2005, 2003]",boy greets girl,2008,0
1306,7003,740342,the master,2012,the master,2012,1
1331,5197,247650,finding the funk,2013,finding the funny,2012,0
1352,3998,51107,american beauty,1999,american beauty,1999,1
1354,2856,723195,the greatest,"[2009, 2007]",the greatest victory,2013,0
1377,4733,691153,the 40 year old virgin,"[2005, 1983]",the 40 year old virgin,2005,1
1378,425,691153,the 40 year old virgin,"[2005, 1988]",the 40 year old virgin,2005,1
1385,4316,728075,the dream,"[2014, 2003]",the impossible dream,2017,0
1394,1360,772820,the voice uk,"[2012, 2007]",the voice box,2010,0
1404,4681,729034,the invisible circus,"[2001, 2005]",the invisible,2007,0
1418,5690,839143,welcome to the 80s,"[2009, 1981]",welcome to the bathtub,2011,0
1424,1817,839143,welcome to the 80s,"[2009, 1980]",welcome to the bathtub,2011,0
1426,1894,839143,welcome to the 80s,"[2009, 2006]",welcome to the bathtub,2011,0
1427,2414,839143,welcome to the 80s,"[2009, 1981]",welcome to the bathtub,2011,0
1429,5001,839143,welcome to the 80s,"[2009, 1988]",welcome to the bathtub,2011,0
1457,6190,649458,so you think you can dance canada,"[2008, 2007]",so you think you can prance,2013,0
1468,2267,649458,so you think you can dance,"[2005, 2009]",so you think you can prance,2013,0
1472,4460,649458,so you think you can dance canada,2008,so you think you can prance,2013,0
1476,2492,649458,so you think you can dance,"[2005, 2009]",so you think you can prance,2013,0
1481,969,649458,so you think you can dance,"[2005, 2010]",so you think you can prance,2013,0
1482,3074,649458,so you think you can dance canada,"[2008, 2005]",so you think you can prance,2013,0
1484,5153,649458,so you think you can dance,"[2005, 2009]",so you think you can prance,2013,0
1488,7017,649458,so you think you can dance canada,"[2008, 2006]",so you think you can prance,2013,0
1519,2067,802266,tusk,"[2014, 1964]",tusk,2014,1
1520,4876,701469,the business of being born,"[2008, 2000]",the business of being born,2008,1
1528,5526,76361,baseketball,1998,baseketball,1998,1
1535,7258,486182,mental,"[2012, 1962]",mr. mental,2016,0
1560,1457,418901,led zeppelin: celebration day,"[2012, 2007]",led zeppelin: celebration day,2012,1
1561,6105,418901,led zeppelin: celebration day,"[2012, 2007]",led zeppelin: celebration day,2012,1
1605,3348,555996,pi,1998,pi,1998,1
1619,7146,527656,once upon a time,"[2011, 1957]",once upon a time...,2006,0
1630,760,812212,undercover brother,"[2002, 1974]",undercover brother,2002,1
1650,6877,672851,super,2010,super power,2013,0
1661,1019,116960,burning palms,"[2010, 2009]",burning palms,2010,1
1683,2023,311010,honey,2003,honey,2000,1
1702,5467,154573,county kilburn,2000,county kilburn,2000,1
1707,5077,821411,varjoja paratiisissa,"[1986, 1993]",varjoja paratiisissa,1986,1
1709,6877,672625,super,2010,super,2005,0
1713,1666,222515,ellis in glamourland,"[2004, 2001]",ellis in glamourland,2004,1
1714,704,222515,ellis in glamourland,"[2004, 2001]",ellis in glamourland,2004,1
1717,5809,693287,the interview,"[2014, 2009]",the ann handle interview,2014,0
1733,590,563806,pollock,"[2000, 1956]",pollock,2000,1
1742,6595,374880,king of the cowboys,1943,king of the newsboys,1938,0
1754,2282,676982,swooner crooner,"[1944, 2005]",swooner crooner,1944,1
1755,974,543491,papurika,"[2006, 2007]",papurika,2006,1
1767,3845,566876,post mortem,"[1999, 1993]",post mortem,2001,0
1768,2499,693304,the anniversary party,2001,the anniversary party,2001,1
1783,5867,160257,cure for love,"[2008, 2002]",cure for love,2008,1
1786,1060,514806,nouvelle vague,"[1990, 1980]",nouvelle vague,1990,1
1797,2001,317498,human traffic,"[1999, 2010]",human traffic,2011,1
1798,6902,317498,human traffic,"[1999, 2010]",human traffic,2011,1
1804,5327,756820,the rocketeer,1991,the rocketeer,1991,1
1812,6854,741325,the affair,"[2014, 1988]",the midnite affair,2011,0
1813,4396,741325,the affair,"[2014, 1974]",the midnite affair,2011,0
1825,1285,837461,we need to talk about kevin,"[2011, 2009]",we need to talk about barbie,2016,0
1840,2581,770116,the truth about charlie,2002,the truth about gi joe,2002,0
1869,5347,861832,young soul rebels,1991,young rebels,1989,0
1900,4297,349315,jam,"[2000, 1984]",jam,1999,0
1910,3919,358303,joy division,2007,joy division,2007,1
1929,137,492919,my name is joe,"[1998, 1968]",my name is oona,1969,0
1933,6964,144796,keep the lights on,"[2012, 1986]",coal keeps the lights on,2013,0
1961,1724,341408,into the wild,2007,into the wake,2012,0
1962,3103,373323,kill your darlings,"[2013, 2005]",kill your darling,2007,0
1975,4895,805116,u2: under a blood red sky,"[1983, 1980]",u2: under a blood red sky,1983,1
1980,4884,747439,the way,"[2010, 2008]",the other way,2010,0
1981,2371,747439,the way,"[2010, 1972]",the other way,2010,0
2039,1707,771864,valentine,2001,the valentine,2000,0
2069,1771,553780,person of interest,"[2011, 1996]",persons of interest,2009,0
2071,57,748062,the pink panther,"[2006, 1998]",the panther,2007,0
2072,58,748062,the pink panther,"[2006, 1998]",the panther,2007,0
2082,1214,223879,empty sky,2011,empty,2008,0
2092,6187,715433,the family man,"[2000, 1978]",the family web,1998,0
2124,4663,741482,the best of me,"[2014, 1990]",the might of me,2014,0
2126,1565,599236,roadkill,"[1989, 1988]",roadkill,1989,1
2143,3197,259908,friday night lights,"[2006, 2007]",friday night,2011,0
2144,3744,259908,friday night lights,2006,friday night,2011,0
2147,4820,259908,friday night lights,"[2006, 2003]",friday night,2011,0
2148,4818,259908,friday night lights,"[2006, 2003]",friday night,2011,0
2149,2358,259908,friday night lights,"[2006, 2009]",friday night,2011,0
2150,828,259908,friday night lights,"[2006, 2004]",friday night,2011,0
2154,6168,714690,the l word,"[2004, 2003]",the f word,2005,0
2155,4404,714690,the l word,"[2004, 2003]",the f word,2005,0
2182,11,764060,the good shepherd,"[2006, 1998]",the star shepherd,2011,0
2191,4020,298065,heavy petting,"[1989, 1988]",heavy petting,1991,1
2192,3349,266686,garbage! the revolution starts at home,"[2007, 2004]",garbage! the revolution starts at home,2007,1
2216,6190,649457,so you think you can dance canada,"[2008, 2007]",so you think you can kill,2013,0
2223,6301,649457,so you think you can dance,"[2005, 2009]",so you think you can kill,2013,0
2232,4460,649457,so you think you can dance canada,2008,so you think you can kill,2013,0
2240,7017,649457,so you think you can dance canada,"[2008, 2006]",so you think you can kill,2013,0
2242,2981,649457,so you think you can dance,"[2005, 2010]",so you think you can kill,2013,0
2247,5168,649457,so you think you can dance canada,"[2008, 2006]",so you think you can kill,2013,0
2254,1423,649457,so you think you can dance canada,"[2008, 2007]",so you think you can kill,2013,0
2269,1995,649457,so you think you can dance canada,"[2008, 2007]",so you think you can kill,2013,0
2270,2924,528521,one last chance,"[2004, 1940]",one last dance,2006,0
2300,1008,761412,the simpsons movie,"[2007, 1970]",the simpsons ride,2008,0
2311,4247,701419,the doe boy,"[2001, 1999]",the bus boy,2003,0
2320,2386,820006,valentines day,"[2010, 1966]",valentines day,2014,1
2321,971,820006,valentines day,"[2010, 1966]",valentines day,2014,1
2325,1610,312005,hope for steve,2014,hope for love,2013,0
2329,3622,733814,the lather effect,2006,the lazarus effect,2010,0
2356,2050,464667,medium,"[2005, 1995]",medium,2007,0
2364,6071,527525,once upon a time,2011,once upon a mine,2015,0
2368,6329,731979,the last american virgin,"[1982, 1980]",the last american virgin,1982,1
2370,3288,731979,the last american virgin,1982,the last american virgin,1982,1
2384,783,735290,the kill list,2007,the list,2005,0
2385,1045,513891,not a photograph: the mission of burma story,"[2006, 1981]",not a photograph: the mission of burma story,2006,1
2391,763,265876,man of the year,"[2006, 1985]",game of the year,2009,0
2393,6258,747781,the nanny diaries,"[2007, 1974]",the pbr diaries,2012,0
2406,1839,110806,breaking the waves,"[1996, 1971]",breaking the rules,1998,0
2418,4011,763421,the dark chronicles,"[2011, 1956]",the spiderwick chronicles,2008,0
2420,5553,321621,i spill your guts,"[2012, 2006]",i spill your guts,2012,1
2428,2943,399252,la mujer de mi vida,1998,la mujer de mi vida,2001,0
2472,1845,765793,things behind the sun,"[2001, 1993]",the sun behind the blind,2006,0
2507,114,108924,boy eats girl,"[2005, 2003]",boy meets girl,2007,0
2524,6719,337034,independent lens,1999,independent,1998,0
2526,5623,337034,independent lens,1999,independent,1998,0
2544,6071,527569,once upon a time,2011,once upon a time,2014,0
2545,7146,527569,once upon a time,"[2011, 1957]",once upon a time,2014,0
2546,5156,744471,the social network,"[2010, 1996]",the network,2015,0
2556,1714,848996,win win,"[2011, 2005]",win,2012,0
2567,6773,48742,alpha and omega,"[2010, 2005]",alpha & omega,2003,0
2578,2991,669474,subterranean,"[2003, 2004]",subterranean,1999,0
2579,3598,669474,subterranean,"[2003, 2005]",subterranean,1999,0
2587,6184,834673,war dogs,"[2016, 1963]",war dogs,2016,1
2594,4316,711880,the dream,"[2014, 2003]",the dream,2006,0
2595,879,711880,the dream,"[2014, 2003]",the dream,2006,0
2610,1953,731353,the kremlin letter,"[1970, 1960]",the kremlin letter,1970,1
2625,2422,107594,born to win,"[1971, 1991]",born to win,1971,1
2647,5371,506541,new orleans,"[1947, 1987]",night in new orleans,1942,0
2658,6673,690055,sing sing thanksgiving,"[1974, 1990]",thanksgiving,1990,0
2662,6462,705110,the debt collector,"[1999, 1974]",the collector,1997,0
2671,6071,527490,once upon a time,2011,once upon a crime,2009,0
2677,6849,187953,die antwort kennt nur der wind,"[1974, 1963]",die antwort kennt nur der wind,1974,1
2683,509,579020,qualquer gato vira-lata,"[2011, 2006]",qualquer gato vira-lata 2,2015,0
2685,6614,471461,middle of nowhere,2008,middle of nowhere,2010,0
2694,5955,719406,the crying game,"[1992, 1968]",the game,1994,0
2741,3770,835786,wasting away,"[2007, 1985]",wasting away,2007,1
2789,2783,854904,xanadu,"[1980, 1982]",xanadu,1980,1
2808,763,546449,man of the year,"[2006, 1985]",party of the year,2005,0
2813,5450,774448,the wendell baker story,"[2005, 1971]",the wendell baker story,2005,1
2819,1519,111570,going the distance,"[2010, 2008]",bridging the distance,2013,0
2853,7146,527616,once upon a time,"[2011, 1957]",once upon a time in space,2016,0
2887,2485,833484,walk on boy,2012,walk on by,2014,0
2890,706,759331,the secret life of pets,"[2016, 1975]",the secret life of marionettes,2013,0
2924,6291,616880,saturday night live,"[1975, 2007]",saturday night,2011,0
2935,1821,616880,saturday night live,"[1975, 2010]",saturday night,2011,0
2938,6443,616880,saturday night live,"[1975, 2006]",saturday night,2011,0
2945,5504,616880,saturday night live,"[1975, 2009]",saturday night,2011,0
2946,2442,616880,saturday night live,"[1975, 2008]",saturday night,2011,0
2990,6938,741479,call the midwife,"[2012, 1956]",the midwife,2012,0
2991,550,741479,call the midwife,"[2012, 1992]",the midwife,2012,0
3014,1134,839215,welcome to the 80s,"[2009, 1998]",welcome to the zoo,2012,0
3019,3814,839215,welcome to the 80s,"[2009, 2006]",welcome to the zoo,2012,0
3024,2414,839215,welcome to the 80s,"[2009, 1981]",welcome to the zoo,2012,0
3039,5360,180562,der krieger und die kaiserin,"[2000, 1999]",der krieger und die kaiserin,2000,1
3042,743,868131,zoom,"[2006, 2001]",zoom,2007,0
3043,3323,639562,siete mesas de billar franc�s,"[2007, 2005]",siete mesas de billar franc?s,2007,1
3058,4690,171081,dawn of the dead,2004,dawna of the dead,2008,0
3060,3027,720932,the boy with the hungry eyes,1970,the girl with the hungry eyes,1967,0
3063,5749,695121,the bag man,"[2014, 1969]",the bad man,2015,0
3077,3713,515101,now & forever,"[2002, 1999]",now & forever,2002,1
3086,2356,744743,the neighbors,"[2012, 2009]",the new neighbors,2009,0
3098,4309,47174,all the wilderness,"[2014, 2007]",all the wilderness,2014,1
3111,452,441325,love and music,1971,love and music,1971,1
3119,3836,245597,fifty,1999,fifty,1999,1
3123,3215,774230,the wedding date,"[2005, 1963]",the wedding,2001,0
3125,5800,774230,the wedding singer,"[1998, 1984]",the wedding,2001,0
3127,2753,774230,the wedding tackle,"[2000, 1969]",the wedding,2001,0
3128,4180,774230,the wedding singer,"[1998, 1984]",the wedding,2001,0
3170,1300,762896,the soul of a man,"[2003, 1964]",the soul of a man,2003,1
3178,2563,781782,threat,"[2006, 2003]",threat,2010,0
3180,482,781782,threat,"[2006, 2001]",threat,2010,0
3187,5448,633221,shes having a baby,"[1988, 1991]",she's having a baby,1988,1
3241,6454,699139,the mindy project,2012,the body project,2011,0
3267,5933,774930,the whos tommy  the amazing journey,1993,the who's tommy  the amazing journey,1993,1
3293,2258,314216,house of 9,"[2005, 2003]",house of love,2000,0
3315,6583,512488,norbit,"[2007, 1992]",norbit,2007,1
3343,2371,746776,the way,"[2010, 1972]",the only way,1970,0
3355,3639,206827,dumb and dumber to,"[2014, 1979]",dumb and dumber to,2014,1
3356,4358,206827,dumb and dumber to,2014,dumb and dumber to,2014,1
3362,595,730706,the crying game,"[1992, 1979]",the killing game,1988,0
3383,1135,389274,looking: the movie,2016,l: the movie,2013,0
3386,7210,677108,sydney,"[1996, 2008]",sydney,2011,0
3419,4360,314301,house of wax,"[2005, 2004]",house of wong,2008,0
3428,6669,57569,angel,"[1999, 1981]",angel,2004,0
3432,6071,527588,once upon a time,2011,once upon a time in detroit,2016,0
3434,4448,768522,the box,2009,the tin box,2013,0
3435,3549,95765,big mommas house,2000,big momma's house,2000,1
3483,2856,723127,the greatest,"[2009, 2007]",the greatest gift,2008,0
3519,6664,314217,house of 9,"[2005, 2003]",house of luk,2001,0
3520,2258,314217,house of 9,"[2005, 2003]",house of luk,2001,0
3529,5182,165744,dancing with the stars,"[2005, 2008]",dancing with the pros,2005,0
3530,6402,165744,dancing with the stars,"[2005, 1989]",dancing with the pros,2005,0
3532,433,165744,dancing with the stars,"[2005, 2003]",dancing with the pros,2005,0
3533,3025,165744,dancing with the stars,"[2004, 1992]",dancing with the pros,2005,0
3543,6502,763131,this space between us,1999,the space between us,2003,0
3578,6209,508992,control,"[2007, 1977]",no control,2011,0
3580,455,508992,control,"[2007, 1969]",no control,2011,0
3582,6854,745524,the affair,"[2014, 1988]",the nobistor affair,2017,0
3583,4396,745524,the affair,"[2014, 1974]",the nobistor affair,2017,0
3585,5690,839145,welcome to the 80s,"[2009, 1981]",welcome to the bubs,2013,0
3586,1134,839145,welcome to the 80s,"[2009, 1998]",welcome to the bubs,2013,0
3591,3814,839145,welcome to the 80s,"[2009, 2006]",welcome to the bubs,2013,0
3592,4370,839145,welcome to the rileys,2010,welcome to the bubs,2013,0
3593,1817,839145,welcome to the 80s,"[2009, 1980]",welcome to the bubs,2013,0
3597,5001,839145,welcome to the 80s,"[2009, 1988]",welcome to the bubs,2013,0
3615,4496,667907,strike!,"[1998, 1965]",strike!,2001,1
3619,6880,411119,le premier cercle,"[2009, 2006]",le cercle,2012,0
3622,6669,57561,angel,"[1999, 1981]",angel,1982,0
3630,2598,697321,the big empty,"[2005, 2000]",the big city,2010,0
3648,3023,850992,without limits,1998,without limits,1998,1
3716,6802,189807,die schlikkerfrauen,"[2014, 1974]",die schlikkerfrauen,2014,1
3732,5773,757066,the roommate,2011,the roommate (ii),2010,0
3733,2832,757066,the roommate,"[2011, 2009]",the roommate (ii),2010,0
3734,4559,757066,the roommate,"[2011, 2008]",the roommate (ii),2010,0
3739,2650,763545,the spirit of 76,"[1990, 1973]",the spirit of pushkin,1994,0
3743,7092,743503,the hunter,"[2011, 1984]",the mushroom hunter,2013,0
3751,7167,86882,beautiful  beautiful,2011,beautiful ink,2016,0
3754,1342,538405,p.o.v.,"[1988, 2003]",p.o.v.,2000,0
3777,771,485676,baseball,"[1994, 1997]",mr. baseball,1992,0
3789,6947,689455,the texas chainsaw massacre,2003,texas political chainsaw massacre,2002,0
3797,7167,791017,beautiful  beautiful,2011,too beautiful,2016,0
3828,6005,766304,the coming thing,1970,the swing thing,1972,0
3837,6492,743978,the l word,"[2004, 2006]",the n word,2011,0
3845,2856,723188,the greatest,"[2009, 2007]",the greatest song,2009,0
3886,5156,762473,the social network,"[2010, 1996]",the social suicide network,2011,0
3887,5993,184062,desperado,1995,desperado,1995,1
3901,1268,86540,the heat,"[2013, 2007]",beat the heat,2015,0
3905,162,260256,friends with kids,"[2011, 2005]",friends with benefits,2011,0
3918,719,335454,in the land of women,2007,in the land of g-d,2009,0
3922,3739,867896,zombified 3d,2016,zombified 3d,2016,1
3930,3604,491715,my father the hero,1994,my father the hero,1994,1
3934,660,165397,dance with me,1998,dance with me,2003,0
3949,331,527631,once upon a time in the midlands,2002,once upon a time in the cia,2007,0
3950,7146,527631,once upon a time,"[2011, 1957]",once upon a time in the cia,2007,0
3951,6071,527631,once upon a time,2011,once upon a time in the cia,2007,0
3965,1366,834537,wanted: dead or alive,"[1987, 1940]",wanted: dead or alive,1984,0
4000,588,293526,harry brown,2009,harry brown,2009,1
4003,3931,255190,forever,"[2014, 1988]",forever after,2015,0
4033,7260,846544,whole new thing,"[2005, 2001]",whole new thing,2005,1
4037,6004,733170,the last stand,"[2013, 1970]",the last stop,2013,0
4044,2605,758556,the school of rock,"[2003, 1986]",the school of rock,2003,1
4046,1377,758556,the school of rock,2003,the school of rock,2003,1
4057,5395,849840,winter meeting,"[1948, 2005]",winter meeting,1948,1
4059,6071,527506,once upon a time,2011,once upon a hill,2010,0
4075,3617,412723,le ciel est � nous,"[1997, 1992]",le ciel est ? nous,1997,0
4076,926,412723,le ciel est � nous,"[1997, 1981]",le ciel est ? nous,1997,0
4099,6124,424749,forget me not,"[2009, 2006]",let me not,2007,0
4130,595,763203,the crying game,"[1992, 1979]",the spanking game,1993,0
4131,139,763203,the crying game,"[1992, 1968]",the spanking game,1993,0
4155,7232,612108,salsa,1976,salsa,1976,1
4162,864,110758,breaking the waves,"[1996, 1976]",breaking the bank,2000,0
4163,2432,110758,breaking the waves,"[1996, 1971]",breaking the bank,2000,0
4177,4865,797599,trick r treat,"[2007, 2004]",trick or treat,2007,1
4202,2987,401052,la linea,"[2009, 2008]",la prima linea,2009,0
4218,4832,121699,cama de gato,2009,cama de gato,2012,0
4223,4180,774285,the wedding singer,"[1998, 1984]",the wedding singer,1998,1
4225,2445,294676,the tell-tale heart,"[2016, 2005]",haunted poe: the tell-tale heart,2009,0
4231,4034,820193,valley girl,"[1983, 1982]",valley girl,1983,1
4241,1658,377340,knockout,"[1941, 2002]",knockout,2007,0
4267,2860,778213,thelma & louise,1991,thelma & louise,1991,1
4272,874,761471,the singing detective,2003,the singing detective,2003,1
4273,934,761471,the singing detective,"[2003, 2000]",the singing detective,2003,1
4281,6170,764277,the stepfather,"[2009, 2006]",the stepfather,2009,1
4284,3864,845394,white men cant jump,"[1992, 1966]",white men can't jump,1992,1
4285,2905,845394,white men cant jump,"[1992, 1993]",white men can't jump,1992,1
4286,5158,631664,shameless,"[2011, 2008]",shameless,2016,0
4288,3707,631664,shameless,2011,shameless,2016,0
4300,5796,540878,pale blood,1990,pale blood,1990,1
4325,6375,482962,morning light,"[2008, 2004]",morning light,2010,0
4336,449,576351,punks dead: slc punk 2,"[2016, 1997]",punk's dead: slc punk 2,2016,1
4344,7092,708010,the hunter,"[2011, 1984]",the dakota hunter,2011,0
4361,5174,838957,welcome to me,2014,welcome to ebensee,2014,0
4368,2669,715647,the fast and the furious,"[2001, 1999]",the fast and the furious,2001,1
4377,5163,300352,the rainmaker,"[1997, 1952]",henry  the rainmaker,1949,0
4380,2886,244771,festival n�mero 19,1966,festival n?mero 19,1966,1
4399,6778,670569,suicide kings,"[1997, 1975]",suicide kings,1997,1
4417,2193,515144,now is good,2012,now is good,2012,1
4428,814,442309,bored to death,2009,loved to death,2007,0
4430,7038,259871,frida,"[2002, 1994]",frida,2001,0
4444,7167,86948,beautiful  beautiful,2011,beautiful phil,2011,0
4445,6154,248407,fireproof,"[2008, 2007]",fireproof,2013,0
4450,4566,449034,made to order,"[1979, 1970]",made to order,1979,1
4479,4272,820005,valentines day,"[2010, 1966]",valentines day,2007,0
4482,971,820005,valentines day,"[2010, 1966]",valentines day,2007,0
4496,2232,692958,american nightmare,2002,the american nightmare,2000,0
4512,1741,362857,kaboom,"[2010, 2009]",kaboom,2008,0
4513,5413,139820,chun gwong cha sit,"[1997, 2000]",chun gwong cha sit,1997,1
4533,7167,86923,beautiful  beautiful,2011,beautiful mum,2014,0
4547,7247,492914,my name is earl,"[2005, 2004]",my name is naji,2010,0
4551,412,492914,my name is earl,"[2005, 1967]",my name is naji,2010,0
4559,3347,269754,gentlemen broncos,"[2009, 1984]",gentlemen broncos,2009,1
4560,6455,269754,gentlemen broncos,"[2009, 1984]",gentlemen broncos,2009,1
4566,3505,673902,surfacing,"[2015, 1988]",surfacing,2016,0
4596,4295,760301,the swing of things,"[2013, 1996]",the shape of things,2001,0
4618,225,722282,the grand,"[2007, 1996]",the grand theft,2011,0
4621,7146,527625,once upon a time,"[2011, 1957]",once upon a time in venice,2016,0
4622,6071,527625,once upon a time,2011,once upon a time in venice,2016,0
4633,6581,725129,the soul of a man,"[2003, 1964]",the heart of a man,1959,0
4648,87,8526,90 minutes in heaven,2015,7 minutes in heaven,2011,0
4649,6299,8526,90 minutes in heaven,2015,7 minutes in heaven,2011,0
4704,5055,301614,here i am,"[2011, 2006]",here i am,2012,0
